# P(K) — structural cutoff (OpenMP)
# gamma=2.50  f=1.000  N=100000000  R=5
# kmax=10000  (natural=215443, structural=10000)  cutoff=structural
# <k>=7.5212  <k(k-1)>=1187.5347  c(N)=158.8908
# f*kmax=10000  c*kmax=1588908
#
# K_center  P(K)  count
8.726026e+00  1.196697e-03  730320
1.003493e+01  2.026613e-03  1422321
1.154017e+01  5.322179e-03  4295503
1.327120e+01  5.996794e-03  5565978
1.526187e+01  5.845969e-03  6239887
1.755116e+01  5.341263e-03  6556348
2.018383e+01  7.057814e-03  9962908
2.321140e+01  6.029466e-03  9787970
2.669311e+01  6.683188e-03  12476572
3.069708e+01  5.441213e-03  11681677
3.530164e+01  5.457818e-03  13474925
4.059689e+01  5.156043e-03  14639345
4.668642e+01  4.669903e-03  15247926
5.368939e+01  3.616835e-03  13580928
6.174280e+01  3.575624e-03  15440112
7.100422e+01  3.020229e-03  14998106
8.165485e+01  2.524560e-03  14417172
9.390307e+01  2.256194e-03  14817284
1.079885e+02  1.955360e-03  14767831
1.241868e+02  1.749007e-03  15190758
1.428148e+02  1.443154e-03  14414461
1.642371e+02  1.230794e-03  14137380
1.888726e+02  1.030728e-03  13615238
2.172035e+02  8.788221e-04  13349966
2.497840e+02  7.550867e-04  13190883
2.872517e+02  6.477397e-04  13012938
3.303394e+02  5.319810e-04  12290480
3.798903e+02  4.482304e-04  11908907
4.368739e+02  3.764715e-04  11502719
5.024049e+02  3.149879e-04  11067771
5.777657e+02  2.652940e-04  10719920
6.644305e+02  2.213248e-04  10284711
7.640951e+02  1.848222e-04  9876745
8.787094e+02  1.539277e-04  9459633
1.010516e+03  1.278848e-04  9038043
1.162093e+03  1.069191e-04  8689779
1.336407e+03  8.864141e-05  8284910
1.536868e+03  7.361114e-05  7912113
1.767398e+03  6.104251e-05  7545346
2.032508e+03  5.066563e-05  7202083
2.337384e+03  4.205482e-05  6874771
2.687992e+03  3.488466e-05  6558051
3.091191e+03  2.887660e-05  6242868
3.554869e+03  2.397348e-05  5960285
4.088100e+03  1.979030e-05  5658304
4.701315e+03  1.641423e-05  5396997
5.406512e+03  1.358397e-05  5136368
6.217489e+03  1.126178e-05  4897049
7.150112e+03  9.316836e-06  4659010
8.222629e+03  7.715231e-06  4436822
9.456024e+03  6.281698e-06  4154301
1.087443e+04  2.627071e-06  1997977
1.250559e+04  1.482752e-06  1296836
1.438143e+04  9.465141e-07  952010
1.653864e+04  6.137640e-07  709927
1.901944e+04  3.927569e-07  522437
2.187236e+04  2.509757e-07  383919
2.515321e+04  1.657392e-07  291562
2.892619e+04  1.110094e-07  224576
3.326512e+04  7.507399e-08  174659
3.825489e+04  5.106290e-08  136617
4.399312e+04  3.518836e-08  108267
5.059209e+04  2.412428e-08  85359
5.818090e+04  1.677051e-08  68240
6.690804e+04  1.157006e-08  54141
7.694425e+04  8.078321e-09  43472
8.848588e+04  5.652246e-09  34979
1.017588e+05  3.931969e-09  27983
1.170226e+05  2.707376e-09  22158
1.345760e+05  1.916605e-09  18039
1.547624e+05  1.342418e-09  14530
1.779767e+05  9.434970e-10  11744
2.046732e+05  6.643656e-10  9510
2.353742e+05  4.676954e-10  7699
2.706803e+05  3.345341e-10  6333
3.112824e+05  2.300369e-10  5008
3.579747e+05  1.660410e-10  4157
4.116710e+05  1.127421e-10  3246
4.734216e+05  7.922055e-11  2623
5.444348e+05  5.578228e-11  2124
6.261001e+05  4.030776e-11  1765
7.200151e+05  2.704725e-11  1362
8.280173e+05  2.053194e-11  1189
9.522199e+05  1.409990e-11  939
1.095053e+06  9.714612e-12  744
1.259311e+06  6.778429e-12  597
1.448208e+06  4.541661e-12  460
1.665439e+06  7.640979e-13  89
