# P(K) — structural cutoff (OpenMP)
# gamma=4.50  f=1.000  N=100000000  R=5
# kmax=193  (natural=193, structural=10000)  cutoff=natural
# <k>=3.6472  <k(k-1)>=11.9960  c(N)=4.2891
# f*kmax=193  c*kmax=828
#
# K_center  P(K)  count
8.726026e+00  9.630315e-02  58771847
1.003493e+01  9.181881e-02  64440422
1.154017e+01  1.264454e-01  102053435
1.327120e+01  8.310491e-02  77134571
1.526187e+01  5.016946e-02  53550024
1.755116e+01  3.025644e-02  37139482
2.018383e+01  2.572702e-02  36316624
2.321140e+01  1.369120e-02  22225696
2.669311e+01  9.461756e-03  17663767
3.069708e+01  4.774849e-03  10251067
3.530164e+01  3.014344e-03  7442179
4.059689e+01  1.741119e-03  4943489
4.668642e+01  9.530032e-04  3111697
5.368939e+01  4.593929e-04  1724984
6.174280e+01  2.864665e-04  1237008
7.100422e+01  1.500100e-04  744932
8.165485e+01  7.953873e-05  454227
9.390307e+01  4.556733e-05  299258
1.079885e+02  2.525737e-05  190756
1.241868e+02  1.434011e-05  124549
1.428148e+02  7.627027e-06  76180
1.642371e+02  4.239714e-06  48699
1.888726e+02  2.336149e-06  30859
2.172035e+02  7.400557e-07  11242
2.497840e+02  3.061360e-07  5348
2.872517e+02  1.564478e-07  3143
3.303394e+02  8.115748e-08  1875
3.798903e+02  4.079986e-08  1084
4.368739e+02  2.065195e-08  631
5.024049e+02  1.129859e-08  397
5.777657e+02  6.533409e-09  264
6.644305e+02  3.400127e-09  158
7.640951e+02  1.721583e-09  92
8.787094e+02  2.115367e-10  13
1.010516e+03  1.414961e-11  1
