# P(K) — structural cutoff (OpenMP)
# gamma=3.50  f=1.000  N=100000000  R=5
# kmax=1584  (natural=1585, structural=10000)  cutoff=natural
# <k>=4.2952  <k(k-1)>=27.2229  c(N)=7.3381
# f*kmax=1584  c*kmax=11623
#
# K_center  P(K)  count
8.726026e+00  2.700222e-02  16478903
1.003493e+01  3.430135e-02  24073424
1.154017e+01  6.433211e-02  51922108
1.327120e+01  5.490923e-02  50964498
1.526187e+01  4.216771e-02  45009089
1.755116e+01  3.142099e-02  38568965
2.018383e+01  3.333986e-02  47063007
2.321140e+01  2.257499e-02  36647238
2.669311e+01  1.982016e-02  37001454
3.069708e+01  1.277100e-02  27417901
3.530164e+01  1.019293e-02  25165554
4.059689e+01  7.542961e-03  21416426
4.668642e+01  5.312850e-03  17347244
5.368939e+01  3.245572e-03  12186865
6.174280e+01  2.540486e-03  10970221
7.100422e+01  1.680422e-03  8344779
8.165485e+01  1.108606e-03  6330987
9.390307e+01  7.836288e-04  5146388
1.079885e+02  5.352727e-04  4042640
1.241868e+02  3.752878e-04  3259510
1.428148e+02  2.428729e-04  2425854
1.642371e+02  1.633844e-04  1876697
1.888726e+02  1.084552e-04  1432622
2.172035e+02  7.338308e-05  1114744
2.497840e+02  5.007830e-05  874836
2.872517e+02  3.415530e-05  686172
3.303394e+02  2.228519e-05  514860
3.798903e+02  1.508195e-05  400708
4.368739e+02  1.022985e-05  312563
5.024049e+02  6.907992e-06  242727
5.777657e+02  4.680544e-06  189130
6.644305e+02  3.186220e-06  148060
7.640951e+02  2.176063e-06  116287
8.787094e+02  1.493807e-06  91802
1.010516e+03  1.023739e-06  72351
1.162093e+03  7.068039e-07  57445
1.336407e+03  4.816539e-07  45018
1.536868e+03  2.888954e-07  31052
1.767398e+03  3.274058e-08  4047
2.032508e+03  1.421041e-08  2020
2.337384e+03  7.909628e-09  1293
2.687992e+03  4.415072e-09  830
3.091191e+03  2.335894e-09  505
3.554869e+03  1.415815e-09  352
4.088100e+03  9.093677e-10  260
4.701315e+03  5.231145e-10  172
5.406512e+03  3.676083e-10  139
6.217489e+03  1.908757e-10  83
7.150112e+03  1.219845e-10  61
8.222629e+03  8.868438e-11  51
9.456024e+03  3.629028e-11  24
1.087443e+04  3.681623e-11  28
1.250559e+04  6.860167e-12  6
