# P(K) — structural cutoff (OpenMP)
# gamma=2.25  f=1.000  N=100000000  R=5
# kmax=10000  (natural=2511886, structural=10000)  cutoff=structural
# <k>=11.0996  <k(k-1)>=5312.2480  c(N)=479.5993
# f*kmax=10000  c*kmax=4795993
#
# K_center  P(K)  count
8.726026e+00  2.092942e-04  127728
1.003493e+01  3.836246e-04  269236
1.154017e+01  1.098593e-03  886669
1.327120e+01  1.334809e-03  1238915
1.526187e+01  1.381920e-03  1475038
1.755116e+01  1.328228e-03  1630387
2.018383e+01  1.853991e-03  2617120
2.321140e+01  1.673705e-03  2717019
2.669311e+01  1.963695e-03  3665943
3.069708e+01  1.691421e-03  3631292
3.530164e+01  1.791088e-03  4422056
4.059689e+01  1.795391e-03  5097580
4.668642e+01  1.725298e-03  5633354
5.368939e+01  1.410317e-03  5295629
6.174280e+01  1.474684e-03  6367918
7.100422e+01  1.318709e-03  6548554
8.165485e+01  1.164236e-03  6648676
9.390307e+01  1.100059e-03  7224503
1.079885e+02  1.007436e-03  7608650
1.241868e+02  9.545038e-04  8290209
1.428148e+02  8.341432e-04  8331559
1.642371e+02  7.535153e-04  8655170
1.888726e+02  6.673612e-04  8815406
2.172035e+02  6.023416e-04  9150021
2.497840e+02  5.481860e-04  9576459
2.872517e+02  4.987801e-04  10020375
3.303394e+02  4.335694e-04  10016855
3.798903e+02  3.871839e-04  10286978
4.368739e+02  3.448983e-04  10538030
5.024049e+02  3.057096e-04  10741756
5.777657e+02  2.729461e-04  11029121
6.644305e+02  2.413467e-04  11215105
7.640951e+02  2.137742e-04  11423919
8.787094e+02  1.889428e-04  11611487
1.010516e+03  1.665740e-04  11772336
1.162093e+03  1.477619e-04  12009249
1.336407e+03  1.301883e-04  12168108
1.536868e+03  1.148299e-04  12342528
1.767398e+03  1.011527e-04  12503293
2.032508e+03  8.919302e-05  12678723
2.337384e+03  7.872717e-05  12869661
2.687992e+03  6.942391e-05  13051169
3.091191e+03  6.114318e-05  13218622
3.554869e+03  5.403753e-05  13434808
4.088100e+03  4.753746e-05  13591577
4.701315e+03  4.203758e-05  13821953
5.406512e+03  3.710829e-05  14031382
6.217489e+03  3.283541e-05  14278079
7.150112e+03  2.904960e-05  14526648
8.222629e+03  2.574671e-05  14806242
9.456024e+03  2.265926e-05  14985339
1.087443e+04  1.340347e-05  10193798
1.250559e+04  8.872830e-06  7760304
1.438143e+04  6.294063e-06  6330609
1.653864e+04  4.465632e-06  5165296
1.901944e+04  3.085417e-06  4104157
2.187236e+04  2.093415e-06  3202309
2.515321e+04  1.459993e-06  2568363
2.892619e+04  1.025592e-06  2074810
3.326512e+04  7.246096e-07  1685798
3.825489e+04  5.144306e-07  1376341
4.399312e+04  3.672717e-07  1130016
5.059209e+04  2.629911e-07  930542
5.818090e+04  1.883529e-07  766417
6.690804e+04  1.358517e-07  635705
7.694425e+04  9.798700e-08  527299
8.848588e+04  7.082897e-08  438326
1.017588e+05  5.131738e-08  365215
1.170226e+05  3.711114e-08  303729
1.345760e+05  2.702956e-08  254401
1.547624e+05  1.959949e-08  212140
1.779767e+05  1.421512e-08  176940
2.046732e+05  1.035432e-08  148216
2.353742e+05  7.550617e-09  124295
2.706803e+05  5.474834e-09  103643
3.112824e+05  3.992297e-09  86914
3.579747e+05  2.925828e-09  73251
4.116710e+05  2.111361e-09  60789
4.734216e+05  1.552517e-09  51404
5.444348e+05  1.124890e-09  42832
6.261001e+05  8.219128e-10  35990
7.200151e+05  5.965687e-10  30041
8.280173e+05  4.363858e-10  25271
9.522199e+05  3.209041e-10  21371
1.095053e+06  2.329418e-10  17840
1.259311e+06  1.709368e-10  15055
1.448208e+06  1.238985e-10  12549
1.665439e+06  9.092765e-11  10591
1.915254e+06  6.591325e-11  8829
2.202543e+06  4.761716e-11  7335
2.532924e+06  3.581201e-11  6344
2.912863e+06  2.587874e-11  5272
3.349792e+06  1.837139e-11  4304
3.852261e+06  1.331013e-11  3586
4.430100e+06  9.689131e-12  3002
5.094615e+06  9.177493e-13  327
