# P(K) — structural cutoff (OpenMP)
# gamma=2.50  f=0.100  N=100000000  R=5
# kmax=10000  (natural=215443, structural=10000)  cutoff=structural
# <k>=7.5212  <k(k-1)>=1187.5347  c(N)=16.7891
# f*kmax=1000  c*kmax=167891
#
# K_center  P(K)  count
2.852554e+00  5.522092e-02  11016656
3.772502e+00  7.684108e-02  20273805
4.989134e+00  6.614287e-02  23079190
5.737504e+00  5.544104e-02  22246756
6.598130e+00  4.384630e-02  20233272
7.587849e+00  3.404598e-02  18067450
8.726026e+00  2.633903e-02  16074174
1.003493e+01  2.042599e-02  14335403
1.154017e+01  3.027002e-02  24430772
1.327120e+01  2.167843e-02  20121032
1.526187e+01  1.590132e-02  16972798
1.755116e+01  1.186998e-02  14570284
2.018383e+01  1.305140e-02  18423544
2.321140e+01  9.439553e-03  15323754
2.669311e+01  9.077538e-03  16946487
3.069708e+01  6.539643e-03  14039882
3.530164e+01  5.912590e-03  14597721
4.059689e+01  5.069675e-03  14394124
4.668642e+01  4.208831e-03  13742460
5.368939e+01  3.029223e-03  11374491
6.174280e+01  2.808296e-03  12126668
7.100422e+01  2.233905e-03  11093313
8.165485e+01  1.774124e-03  10131603
9.390307e+01  1.512986e-03  9936353
1.079885e+02  1.256110e-03  9486751
1.241868e+02  1.079669e-03  9377318
1.428148e+02  8.592913e-04  8582743
1.642371e+02  7.091115e-04  8145130
1.888726e+02  5.767949e-04  7619084
2.172035e+02  4.793643e-04  7281903
2.497840e+02  4.016614e-04  7016768
2.872517e+02  3.368296e-04  6766828
3.303394e+02  2.709729e-04  6260349
3.798903e+02  2.244711e-04  5963909
4.368739e+02  1.855893e-04  5670500
5.024049e+02  1.529792e-04  5375250
5.777657e+02  1.270984e-04  5135755
6.644305e+02  1.049151e-04  4875286
7.640951e+02  8.672538e-05  4634533
8.787094e+02  7.170164e-05  4406428
1.010516e+03  4.701404e-05  3322638
1.162093e+03  2.064401e-05  1677828
1.336407e+03  1.257957e-05  1175755
1.536868e+03  8.131533e-06  874020
1.767398e+03  5.271468e-06  651596
2.032508e+03  3.361741e-06  477869
2.337384e+03  2.201336e-06  359856
2.687992e+03  1.468464e-06  276060
3.091191e+03  9.913490e-07  214321
3.554869e+03  6.718889e-07  167045
4.088100e+03  4.589264e-07  131213
4.701315e+03  3.191576e-07  104939
5.406512e+03  2.175659e-07  82266
6.217489e+03  1.522016e-07  66183
7.150112e+03  1.057146e-07  52864
8.222629e+03  7.354196e-08  42292
9.456024e+03  5.101053e-08  33735
1.087443e+04  3.583271e-08  27252
1.250559e+04  2.474348e-08  21641
1.438143e+04  1.770022e-08  17803
1.653864e+04  1.214946e-08  14053
1.901944e+04  8.664999e-09  11526
2.187236e+04  6.186810e-09  9464
2.515321e+04  4.324219e-09  7607
2.892619e+04  2.959413e-09  5987
3.326512e+04  2.074368e-09  4826
3.825489e+04  1.475631e-09  3948
4.399312e+04  1.050772e-09  3233
5.059209e+04  7.266196e-10  2571
5.818090e+04  5.148624e-10  2095
6.690804e+04  3.643625e-10  1705
7.694425e+04  2.700083e-10  1453
8.848588e+04  1.690228e-10  1046
1.017588e+05  1.308174e-10  931
1.170226e+05  8.919507e-11  730
1.345760e+05  6.247374e-11  588
1.547624e+05  4.176002e-11  452
1.779767e+05  6.587768e-12  82
