# P(K) — structural cutoff (OpenMP)
# gamma=2.25  f=0.100  N=100000000  R=5
# kmax=10000  (natural=2511886, structural=10000)  cutoff=structural
# <k>=11.0996  <k(k-1)>=5312.2480  c(N)=48.8599
# f*kmax=1000  c*kmax=488599
#
# K_center  P(K)  count
2.852554e+00  1.472681e-02  2938020
3.772502e+00  2.217875e-02  5851658
4.989134e+00  2.070216e-02  7223593
5.737504e+00  1.874411e-02  7521425
6.598130e+00  1.588566e-02  7330582
7.587849e+00  1.313601e-02  6970988
8.726026e+00  1.073526e-02  6551508
1.003493e+01  8.739931e-03  6133872
1.154017e+01  1.381719e-02  11151779
1.327120e+01  1.066958e-02  9903063
1.526187e+01  8.358248e-03  8921451
1.755116e+01  6.609767e-03  8113425
2.018383e+01  7.730209e-03  10912070
2.321140e+01  5.978472e-03  9705188
2.669311e+01  6.140766e-03  11463947
3.069708e+01  4.720864e-03  10135167
3.530164e+01  4.551504e-03  11237306
4.059689e+01  4.174916e-03  11853671
4.668642e+01  3.708058e-03  12107360
5.368939e+01  2.845747e-03  10685554
6.174280e+01  2.808264e-03  12126529
7.100422e+01  2.385724e-03  11847228
8.165485e+01  2.013709e-03  11499821
9.390307e+01  1.827569e-03  12002339
1.079885e+02  1.615769e-03  12203074
1.241868e+02  1.480097e-03  12855174
1.428148e+02  1.255577e-03  12540909
1.642371e+02  1.104270e-03  12684073
1.888726e+02  9.563570e-04  12632852
2.172035e+02  8.451176e-04  12837970
2.497840e+02  7.551657e-04  13192263
2.872517e+02  6.760768e-04  13582224
3.303394e+02  5.801217e-04  13402685
3.798903e+02  5.122752e-04  13610495
4.368739e+02  4.518520e-04  13805897
5.024049e+02  3.977877e-04  13977118
5.777657e+02  3.534772e-04  14283199
6.644305e+02  3.118206e-04  14489945
7.640951e+02  2.759496e-04  14746522
8.787094e+02  2.444513e-04  15022765
1.010516e+03  1.873044e-04  13237420
1.162093e+03  1.107951e-04  9004799
1.336407e+03  7.644561e-05  7145024
1.536868e+03  5.438386e-05  5845464
1.767398e+03  3.825781e-05  4728974
2.032508e+03  2.605323e-05  3703448
2.337384e+03  1.798132e-05  2939437
2.687992e+03  1.258490e-05  2365866
3.091191e+03  8.860284e-06  1915516
3.554869e+03  6.301694e-06  1566727
4.088100e+03  4.466824e-06  1277123
4.701315e+03  3.202169e-06  1052873
5.406512e+03  2.295954e-06  868146
6.217489e+03  1.648734e-06  716932
7.150112e+03  1.190485e-06  595318
8.222629e+03  8.579570e-07  493388
9.456024e+03  6.225447e-07  411710
1.087443e+04  4.504939e-07  342616
1.250559e+04  3.267989e-07  285823
1.438143e+04  2.369611e-07  238337
1.653864e+04  1.722485e-07  199236
1.901944e+04  1.255207e-07  166965
2.187236e+04  9.113190e-08  139405
2.515321e+04  6.616390e-08  116393
2.892619e+04  4.830809e-08  97729
3.326512e+04  3.514391e-08  81762
3.825489e+04  2.546623e-08  68134
4.399312e+04  1.854143e-08  57048
5.059209e+04  1.369075e-08  48442
5.818090e+04  9.935739e-09  40429
6.690804e+04  7.203907e-09  33710
7.694425e+04  5.251689e-09  28261
8.848588e+04  3.886071e-09  24049
1.017588e+05  2.813487e-09  20023
1.170226e+05  2.067982e-09  16925
1.345760e+05  1.501707e-09  14134
1.547624e+05  1.094815e-09  11850
1.779767e+05  7.985661e-10  9940
2.046732e+05  5.857036e-10  8384
2.353742e+05  4.213450e-10  6936
2.706803e+05  3.088089e-10  5846
3.112824e+05  2.253057e-10  4905
3.579747e+05  1.648427e-10  4127
4.116710e+05  1.198622e-10  3451
4.734216e+05  6.768329e-11  2241
5.444348e+05  6.565711e-13  25
