# P(K) — structural cutoff (OpenMP)
# gamma=3.00  f=0.100  N=100000000  R=5
# kmax=10000  (natural=10000, structural=10000)  cutoff=natural
# <k>=5.1239  <k(k-1)>=102.4278  c(N)=2.9990
# f*kmax=1000  c*kmax=29990
#
# K_center  P(K)  count
2.852554e+00  2.058952e-01  41076396
3.772502e+00  2.471505e-01  65208357
4.989134e+00  1.812744e-01  63251972
5.737504e+00  1.300414e-01  52181533
6.598130e+00  8.927110e-02  41194959
7.587849e+00  6.112606e-02  32438250
8.726026e+00  4.226266e-02  25792039
1.003493e+01  2.960778e-02  20779380
1.154017e+01  3.850592e-02  31077930
1.327120e+01  2.357425e-02  21880653
1.526187e+01  1.509669e-02  16113953
1.755116e+01  9.992268e-03  12265412
2.018383e+01  9.650925e-03  13623379
2.321140e+01  6.079965e-03  9869948
2.669311e+01  5.100564e-03  9522036
3.069708e+01  3.198592e-03  6867019
3.530164e+01  2.532070e-03  6251481
4.059689e+01  1.885521e-03  5353483
4.668642e+01  1.357015e-03  4430856
5.368939e+01  8.551924e-04  3211180
6.174280e+01  6.965144e-04  3007660
7.100422e+01  4.853201e-04  2410043
8.165485e+01  3.392995e-04  1937660
9.390307e+01  2.555097e-04  1678029
1.079885e+02  1.868590e-04  1411250
1.241868e+02  1.414795e-04  1228800
1.428148e+02  9.937472e-05  992571
1.642371e+02  7.284648e-05  836743
1.888726e+02  5.279186e-05  697346
2.172035e+02  3.882639e-05  589802
2.497840e+02  2.905098e-05  507502
2.872517e+02  2.173853e-05  436722
3.303394e+02  1.564461e-05  361441
3.798903e+02  1.162420e-05  308840
4.368739e+02  8.600635e-06  262784
5.024049e+02  6.375792e-06  224027
5.777657e+02  4.757064e-06  192222
6.644305e+02  3.520530e-06  163595
7.640951e+02  2.621073e-06  140068
8.787094e+02  1.959220e-06  120404
1.010516e+03  9.206163e-07  65063
1.162093e+03  1.548952e-07  12589
1.336407e+03  7.763296e-08  7256
1.536868e+03  4.531784e-08  4871
1.767398e+03  2.707752e-08  3347
2.032508e+03  1.671482e-08  2376
2.337384e+03  1.101108e-08  1800
2.687992e+03  6.824743e-09  1283
3.091191e+03  4.269367e-09  923
3.554869e+03  2.900008e-09  721
4.088100e+03  1.720803e-09  492
4.701315e+03  1.177008e-09  387
5.406512e+03  7.431505e-10  281
6.217489e+03  5.197339e-10  226
7.150112e+03  3.599542e-10  180
8.222629e+03  2.104080e-10  121
9.456024e+03  1.738909e-10  115
1.087443e+04  1.012446e-10  77
1.250559e+04  5.373797e-11  47
1.438143e+04  3.678640e-11  37
1.653864e+04  3.025909e-11  35
1.901944e+04  1.127668e-11  15
2.187236e+04  7.190925e-12  11
2.515321e+04  8.526788e-12  15
2.892619e+04  2.471533e-12  5
3.326512e+04  8.596636e-13  2
