# P(K) — structural cutoff (OpenMP)
# gamma=4.50  f=0.100  N=100000000  R=5
# kmax=193  (natural=193, structural=10000)  cutoff=natural
# <k>=3.6472  <k(k-1)>=11.9960  c(N)=1.3289
# f*kmax=19  c*kmax=256
#
# K_center  P(K)  count
2.852554e+00  6.597285e-01  131616823
3.772502e+00  5.662528e-01  149400552
4.989134e+00  2.772028e-01  96724193
5.737504e+00  1.300387e-01  52180448
6.598130e+00  6.002504e-02  27699099
7.587849e+00  2.892641e-02  15350605
8.726026e+00  1.470615e-02  8974862
1.003493e+01  7.857091e-03  5514276
1.154017e+01  7.310160e-03  5899992
1.327120e+01  2.994422e-03  2779300
1.526187e+01  1.362246e-03  1454038
1.755116e+01  6.711931e-04  823883
2.018383e+01  4.760381e-04  671982
2.321140e+01  2.136254e-04  346790
2.669311e+01  1.283851e-04  239677
3.069708e+01  5.700110e-05  122375
3.530164e+01  3.259358e-05  80471
4.059689e+01  1.745913e-05  49571
4.668642e+01  8.945994e-06  29210
5.368939e+01  4.142031e-06  15553
6.174280e+01  2.483697e-06  10725
7.100422e+01  1.234222e-06  6129
8.165485e+01  6.461481e-07  3690
9.390307e+01  3.461045e-07  2273
1.079885e+02  1.885472e-07  1424
1.241868e+02  1.018956e-07  885
1.428148e+02  5.256221e-08  525
1.642371e+02  2.576963e-08  296
1.888726e+02  1.377812e-08  182
2.172035e+02  7.504567e-09  114
2.497840e+02  3.262855e-09  57
