# Analytical C(K) for STC model with ER backbone
# c = 3.000000
# f = 1.000000
# <K> = 12.000000
# Kmax = 100000000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.062500
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
     2   2.28641137e-02   1.00000000   1.21220781   1.02428890   1.00000000
     3   3.68228681e-02   0.96983700   1.05717526   1.09199073   2.90951099
     4   4.37092215e-02   0.90281164   0.83689944   1.24015465   5.41686981
     5   4.62219566e-02   0.79397547   0.70276253   1.48178930   7.93975474
     6   4.84811476e-02   0.67368970   0.61090437   1.76178345   10.10534548
     7   5.13748623e-02   0.57924482   0.54342339   2.01234965   12.16414117
     8   5.37279466e-02   0.51638604   0.49144172   2.22735134   14.45880923
     9   5.46701216e-02   0.47243873   0.44999613   2.43310327   17.00779418
    10   5.42565089e-02   0.43706664   0.41607249   2.64504548   19.66799891
    11   5.29025862e-02   0.40630293   0.38772493   2.86178159   22.34666090
    12   5.08977089e-02   0.37950953   0.36363636   3.07647570   25.04762877
    13   4.83581105e-02   0.35655698   0.34288103   3.28587574   27.81144417
    14   4.53611341e-02   0.33690688   0.32478776   3.49108666   30.65852651
    16   3.84780696e-02   0.30470509   0.29470966   3.89656029   36.56461077
    17   3.48617250e-02   0.29117067   0.28205086   4.09770231   39.59921055
    19   2.77973829e-02   0.26797844   0.26031892   4.49512687   45.82431301
    20   2.44868323e-02   0.25798818   0.25091063   4.69143403   49.01775470
    22   1.85306059e-02   0.24051613   0.23438986   5.08030526   55.55922668
    24   1.35973108e-02   0.22570186   0.22033414   5.46474089   62.29371409
    26   9.70019273e-03   0.21296566   0.20821195   5.84495832   69.21384015
    29   5.57039751e-03   0.19686817   0.19283586   6.40827653   79.92847551
    32   3.03602319e-03   0.18351931   0.18004095   6.96413859   91.02558016
    35   1.57852985e-03   0.17224949   0.16920700   7.51335635   102.48844905
