# Analytical C(K) for STC model with ER backbone
# c = 4.000000
# f = 1.000000
# <K> = 20.000000
# Kmax = 100000000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.040000
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
     2   5.41655575e-03   1.00000000   1.30828537   1.00907471   1.00000000
     3   1.11292341e-02   0.98822232   1.25992114   1.03554875   2.96466697
     4   1.59004170e-02   0.95848007   0.98450381   1.10073908   5.75088044
     5   1.85943002e-02   0.89631553   0.81834675   1.23493003   8.96315529
     6   2.01878843e-02   0.79688487   0.70546722   1.45020975   11.95327304
     7   2.21080727e-02   0.68372407   0.62310556   1.70299071   14.35820557
     8   2.48079588e-02   0.59102697   0.56003186   1.92939294   16.54875520
     9   2.78064378e-02   0.52867229   0.50999962   2.11464477   19.03220251
    10   3.04772809e-02   0.48657955   0.46923344   2.28267923   21.89607996
    11   3.25690743e-02   0.45362893   0.43530667   2.45571587   24.94959131
    12   3.41782233e-02   0.42429759   0.40658341   2.63960792   28.00364073
    13   3.54780156e-02   0.39743460   0.38191808   2.82839291   30.99989903
    14   3.65368757e-02   0.37351421   0.36048296   3.01430231   33.98979270
    16   3.77479446e-02   0.33496089   0.32499636   3.36966539   40.19530644
    17   3.78101676e-02   0.31931202   0.31011978   3.54351987   43.42643506
    19   3.69303795e-02   0.29255665   0.28466731   3.89150771   50.02718689
    20   3.60749210e-02   0.28093242   0.27368421   4.06484587   53.37716074
    22   3.37071561e-02   0.26062105   0.25445390   4.40733670   60.20346288
    24   3.06660788e-02   0.24353509   0.23815213   4.74513331   67.21568423
    26   2.72201334e-02   0.22889520   0.22413944   5.08006074   74.39093917
    29   2.18334320e-02   0.21043207   0.20643175   5.57697296   85.43541931
    32   1.67337337e-02   0.19518841   0.19175735   6.06763982   96.81345013
    35   1.23078130e-02   0.18236277   0.17937837   6.55302621   108.50584922
    38   8.71905356e-03   0.17140829   0.16878100   7.03355280   120.50003055
    41   5.96735664e-03   0.16193267   0.15959591   7.50970666   132.78478616
    45   3.42646857e-03   0.15111033   0.14908487   8.13841048   149.59922861
    49   1.86884367e-03   0.14191527   0.14013691   8.76073975   166.89236085
    54   8.20250092e-04   0.13218427   0.13065004   9.53061273   189.15568972
    59   3.36888186e-04   0.12396906   0.12262701   10.29246170   212.11105614
    65   1.06972514e-04   0.11564255   0.11448227   11.19720807   240.53650194
    71   3.13997149e-05   0.10860633   0.10758944   12.09268056   269.88673514
    77   8.58042835e-06   0.10257370   0.10167229   12.97980339   300.13065623
    84   1.73914579e-06   0.09653155   0.09573889   14.00524355   336.50898537
    92   2.54114612e-07   0.09065491   0.08996141   15.16582455   379.48145603
   101   2.60267990e-08   0.08505945   0.08445430   16.45847739   429.55024567
   110   2.38691655e-09   0.08029843   0.07976378   17.73875304   481.38909482
   120   1.49211297e-10   0.07577066   0.07529908   19.14820790   541.00251425
   132   4.61726732e-12   0.07116083   0.07074948   20.82320974   615.25657275
   144   1.23316197e-13   0.06724857   0.06688517   22.48217649   692.39126764
   157   2.09420140e-15   0.06362197   0.06330044   24.26310963   779.11468432
   172   1.59124493e-17   0.06005413   0.05977135   26.29907459   883.15609354
   188   7.22111719e-20   0.05681568   0.05656597   28.45061098   998.70602839
   206   1.34963743e-22   0.05371512   0.05349521   30.84873293   1134.19468213
   225   1.42548917e-25   0.05092714   0.05073246   33.35697306   1283.36392380
   246   5.75465034e-29   0.04829624   0.04812401   36.10438763   1455.40716614
   268   1.25183985e-32   0.04593689   0.04578366   38.95738653   1643.53007192
   293   6.53075051e-37   0.04364104   0.04350527   42.17115632   1866.87622762
   321   7.58667031e-42   0.04144928   0.04132924   45.73840412   2128.83518070
   351   2.78906640e-47   0.03944715   0.03934066   49.52650923   2423.04124627
   383   3.13504181e-53   0.03761918   0.03752439   53.53229375   2751.95598231
   419   4.29271624e-60   0.03585903   0.03577488   58.00003891   3140.21114882
   458   1.02828911e-67   0.03422875   0.03415391   62.79835045   3582.14128909
   501   2.55510709e-76   0.03269114   0.03262461   68.04347755   4094.56475686
   548   6.05161215e-86   0.03125363   0.03119445   73.72755609   4684.23227310
   599   1.26144334e-96   0.02991793   0.02986520   79.84326924   5358.33191160
   654   2.14737451e-108   0.02868188   0.02863480   86.38384047   6124.47138487
