# Analytical C(K) for STC model with ER backbone
# c = 4.000000
# f = 1.000000
# <K> = 20.000000
# Kmax = 100000000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.040000
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
   715   1.00755114e-121   0.02750512   0.02746314   93.57794615   7020.81973079
   782   1.14854518e-136   0.02639668   0.02635924   101.41412610   8060.78101800
   855   2.82274945e-153   0.02536044   0.02532702   109.88166495   9258.71606117
   934   1.33668161e-171   0.02439668   0.02436680   118.97060503   10629.90289523
  1021   3.66048127e-192   0.02348385   0.02345714   128.89907756   12228.27515149
  1117   2.83071898e-215   0.02261808   0.02259422   139.76594175   14097.53448896
  1221   9.13811476e-241   0.02181137   0.02179002   151.44371555   16245.32307267
  1334   6.00665007e-269   0.02105608   0.02103696   164.03143295   18721.19333552
  1459   1.17263217e-300   0.02033600   0.02031888   177.84578421   21629.58799889
  1595   0.00000000e+00   0.01966062   0.01964529   192.75730042   24992.87180125
  1743   0.00000000e+00   0.01902613   0.01901239   208.85798086   28884.58179977
  1906   0.00000000e+00   0.01842257   0.01841026   226.45280189   33445.53629004
  2083   0.00000000e+00   0.01785608   0.01784504   245.41136296   38719.18741402
  2277   0.00000000e+00   0.01731885   0.01730894   266.03168066   44877.05159903
  2489   0.00000000e+00   0.01681056   0.01680166   288.39350960   52050.79940568
  2721   0.00000000e+00   0.01632860   0.01632062   312.67951350   60424.97909517
  2975   0.00000000e+00   0.01587112   0.01586395   339.06798471   70211.07361408
  3252   0.00000000e+00   0.01543818   0.01543173   367.63036197   81608.14098615
  3555   0.00000000e+00   0.01502680   0.01502101   398.64120614   94927.82938461
  3886   0.00000000e+00   0.01463611   0.01463090   432.26716861   110481.47096488
  4248   0.00000000e+00   0.01426431   0.01425963   468.77200832   128673.05061026
  4644   0.00000000e+00   0.01391013   0.01390592   508.41343680   149965.75669756
  5077   0.00000000e+00   0.01357261   0.01356882   551.44346810   174888.80490603
  5550   0.00000000e+00   0.01325097   0.01324756   598.10876954   204044.72385346
  6067   0.00000000e+00   0.01294401   0.01294094   648.74861563   238185.38290323
  6632   0.00000000e+00   0.01265083   0.01264807   703.69485692   278171.41790270
  7250   0.00000000e+00   0.01237033   0.01236785   763.36858740   325062.91997170
  7926   0.00000000e+00   0.01210174   0.01209950   828.18165881   380076.66414594
  8664   0.00000000e+00   0.01184482   0.01184280   898.44234080   444513.73159540
  9471   0.00000000e+00   0.01159843   0.01159661   974.73601912   520133.61692181
 10354   0.00000000e+00   0.01136180   0.01136017   1057.63518150   608964.12153748
 11319   0.00000000e+00   0.01113465   0.01113318   1147.60720617   713221.47254011
 12373   0.00000000e+00   0.01091652   0.01091519   1245.20281726   835543.49437744
 13526   0.00000000e+00   0.01070654   0.01070534   1351.23688609   979322.91442452
 14786   0.00000000e+00   0.01050447   0.01050339   1466.32467194   1148196.35322769
 16164   0.00000000e+00   0.01030970   0.01030872   1591.34101165   1346748.93580191
 17670   0.00000000e+00   0.01012194   0.01012106   1727.05278044   1580091.76511006
 19316   0.00000000e+00   0.00994080   0.00994000   1874.39057393   1854398.52528079
 21116   0.00000000e+00   0.00976580   0.00976509   2034.44377085   2177111.49607542
 23083   0.00000000e+00   0.00959675   0.00959610   2208.19168649   2556581.94032759
 25234   0.00000000e+00   0.00943319   0.00943261   2396.94506723   3003196.68978268
 27585   0.00000000e+00   0.00927494   0.00927441   2601.90141692   3528671.78236760
 30155   0.00000000e+00   0.00912168   0.00912120   2824.49465009   4147141.74803757
 32965   0.00000000e+00   0.00897312   0.00897269   3066.30240933   4875356.79503515
 36036   0.00000000e+00   0.00882910   0.00882871   3328.87176299   5732543.17306271
 39394   0.00000000e+00   0.00868931   0.00868896   3614.14443383   6742240.81278962
 43064   0.00000000e+00   0.00855361   0.00855330   3923.94029490   7931186.32127531
 47077   0.00000000e+00   0.00842175   0.00842146   4260.54750058   9332122.68116425
 51463   0.00000000e+00   0.00829359   0.00829333   4626.12719851   10982322.95538641
 56258   0.00000000e+00   0.00816893   0.00816870   5023.29664376   12926948.22116042
 61500   0.00000000e+00   0.00804761   0.00804740   5454.78802911   15218795.84528547
 67230   0.00000000e+00   0.00792950   0.00792931   5923.52781561   17919905.91290210
 73493   0.00000000e+00   0.00781446   0.00781429   6432.71325940   21103529.20458925
 80341   0.00000000e+00   0.00770232   0.00770216   6986.04737363   24857668.56201829
 87826   0.00000000e+00   0.00759298   0.00759284   7587.16475899   29283543.90854671
 96009   0.00000000e+00   0.00748632   0.00748619   8240.35174990   34503061.78398949
104955   0.00000000e+00   0.00738222   0.00738210   8950.13326253   40659200.80491635
114733   0.00000000e+00   0.00728059   0.00728049   9721.26778705   47919206.61339203
125423   0.00000000e+00   0.00718132   0.00718123   10559.28988854   56484005.46470378
137109   0.00000000e+00   0.00708433   0.00708425   11469.94582688   66588250.78722256
149884   0.00000000e+00   0.00698952   0.00698945   12459.57622898   78510025.10710183
163849   0.00000000e+00   0.00689682   0.00689675   13535.02480801   92577131.21043675
179115   0.00000000e+00   0.00680614   0.00680608   14703.77954038   109177327.60260458
195803   0.00000000e+00   0.00671742   0.00671736   15973.95740252   128768281.14339401
214046   0.00000000e+00   0.00663058   0.00663053   17354.44083865   151891554.27001658
233989   0.00000000e+00   0.00654555   0.00654551   18854.85979091   179186566.80970848
255791   0.00000000e+00   0.00646228   0.00646224   20485.72387059   211409600.22369206
279623   0.00000000e+00   0.00638071   0.00638067   22258.25371561   249449835.42844129
305676   0.00000000e+00   0.00630078   0.00630074   24184.95595101   294364417.32470250
334156   0.00000000e+00   0.00622243   0.00622240   26279.22583776   347397959.67579043
365290   0.00000000e+00   0.00614562   0.00614559   28555.76586730   410024710.23887122
399324   0.00000000e+00   0.00607030   0.00607027   31030.41075818   483982612.07727623
436530   0.00000000e+00   0.00599642   0.00599639   33720.60780641   571332644.97278631
477202   0.00000000e+00   0.00592394   0.00592392   36645.09310419   674503116.50514138
521664   0.00000000e+00   0.00585281   0.00585279   39824.43485639   796370955.35388923
570268   0.00000000e+00   0.00578300   0.00578299   43280.85032505   940331061.86459982
623401   0.00000000e+00   0.00571448   0.00571446   47038.66433594   1110403416.63718176
681484   0.00000000e+00   0.00564719   0.00564718   51124.19247076   1311334142.94198799
744979   0.00000000e+00   0.00558112   0.00558111   55566.18711657   1548740790.33876872
814390   0.00000000e+00   0.00551622   0.00551621   60395.85371943   1829261817.56216478
890268   0.00000000e+00   0.00545246   0.00545245   65647.14366636   2160746832.61408138
973215   0.00000000e+00   0.00538982   0.00538981   71356.97029331   2552476202.05976486
1063891   0.00000000e+00   0.00532827   0.00532826   77565.62413419   3015434083.72063208
1163015   0.00000000e+00   0.00526777   0.00526776   84316.76877314   3562598053.33273888
1271375   0.00000000e+00   0.00520830   0.00520829   91658.04644625   4209327480.14096546
1389831   0.00000000e+00   0.00514983   0.00514982   99641.19567814   4973780334.99368000
1519324   0.00000000e+00   0.00509234   0.00509234   108322.56816975   5877439388.67979431
1660881   0.00000000e+00   0.00503581   0.00503581   117763.36537794   6945703143.49914646
1815628   0.00000000e+00   0.00498021   0.00498021   128030.39921176   8208641383.34929657
1984793   0.00000000e+00   0.00492552   0.00492552   139196.17307930   9701802908.60689163
2169719   0.00000000e+00   0.00487172   0.00487172   151339.61782490   11467246597.08156586
2371875   0.00000000e+00   0.00481879   0.00481878   164546.67741793   13554739785.12814331
2592866   0.00000000e+00   0.00476670   0.00476670   178910.81477250   16023154872.41551399
2834447   0.00000000e+00   0.00471545   0.00471544   194533.76330426   18942153444.95998001
3098537   0.00000000e+00   0.00466500   0.00466500   211526.25910248   22394168363.18701553
3387232   0.00000000e+00   0.00461535   0.00461534   230008.69081159   26476716863.47750854
3702825   0.00000000e+00   0.00456647   0.00456647   250112.17875316   31305217804.44247818
4047823   0.00000000e+00   0.00451835   0.00451835   271979.43642621   37016264485.66972351
4424965   0.00000000e+00   0.00447097   0.00447097   295765.67392776   43771480914.22442627
4837245   0.00000000e+00   0.00442432   0.00442431   321639.79267022   51762140320.15121460
5287938   0.00000000e+00   0.00437837   0.00437837   349785.73723623   61214661971.10559845
5780623   0.00000000e+00   0.00433313   0.00433313   380403.62748589   72397011759.40597534
6319213   0.00000000e+00   0.00428856   0.00428856   413711.29582380   85626377615.99177551
6907983   0.00000000e+00   0.00424466   0.00424466   449945.66389874   101278142077.14445496
7551610   0.00000000e+00   0.00420142   0.00420142   489364.82012928   119796754361.79002380
8255205   0.00000000e+00   0.00415882   0.00415881   532249.55903700   141708298662.38119507
9024354   0.00000000e+00   0.00411684   0.00411684   578905.42983268   167635524578.93045044
9865167   0.00000000e+00   0.00407548   0.00407548   629665.21783864   198315811732.15292358
10784319   0.00000000e+00   0.00403472   0.00403472   684890.88612047   234622002434.59063721
11789110   0.00000000e+00   0.00399455   0.00399455   744976.60685244   277587628407.19866943
12887518   0.00000000e+00   0.00395496   0.00395496   810351.30368319   328436308970.20288086
14088267   0.00000000e+00   0.00391595   0.00391595   881482.02238961   388617003542.88836670
15400892   0.00000000e+00   0.00387748   0.00387748   958877.04506671   459845341164.91888428
16835816   0.00000000e+00   0.00383957   0.00383957   1043089.63570784   544152847470.63568115
18404434   0.00000000e+00   0.00380219   0.00380219   1134722.10668215   643945279810.76416016
20119202   0.00000000e+00   0.00376534   0.00376534   1234430.08118432   762071566976.49951172
21993738   0.00000000e+00   0.00372901   0.00372901   1342927.35118082   901905729529.69934082
24042927   0.00000000e+00   0.00369318   0.00369318   1460990.85365236   1067443547969.64624023
26283042   0.00000000e+00   0.00365785   0.00365785   1589466.44989416   1263417556019.00415039
28731872   0.00000000e+00   0.00362301   0.00362301   1729274.97176761   1495432970768.43359375
31408863   0.00000000e+00   0.00358864   0.00358864   1881418.86888095   1770128822410.31103516
34335273   0.00000000e+00   0.00355475   0.00355475   2046989.49663676   2095368969160.00854492
37534341   0.00000000e+00   0.00352133   0.00352132   2227175.02764575   2480468414683.48291016
41031471   0.00000000e+00   0.00348835   0.00348835   2423269.02579139   2936461404386.62548828
44854434   0.00000000e+00   0.00345582   0.00345582   2636679.83250173   3476419227319.91455078
49033587   0.00000000e+00   0.00342373   0.00342373   2868940.68791585   4115826562318.47167969
53602119   0.00000000e+00   0.00339207   0.00339207   3121721.11996358   4873028527648.32324219
58596308   0.00000000e+00   0.00336083   0.00336083   3396838.68682475   5769758623670.04296875
64055812   0.00000000e+00   0.00333001   0.00333001   3696272.32488413   6831765987409.29882812
70023987   0.00000000e+00   0.00329960   0.00329960   4022176.87643178   8089559034182.16699219
76548225   0.00000000e+00   0.00326959   0.00326959   4376898.38646729   9579284859403.30664062
83680336   0.00000000e+00   0.00323997   0.00323997   4762991.44722072   11343774205588.48242188
91476957   0.00000000e+00   0.00321074   0.00321074   5183237.62016509   13433778282530.79296875
100000000   0.00000000e+00   0.00318189   0.00318189   5640665.55223135   15909434858144.79101562
