# Analytical C(K) for STC model with ER backbone
# c = 10.000000
# f = 1.000000
# <K> = 110.000000
# Kmax = 100000000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.008264
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
     2   2.06120041e-07   1.00000000   1.64574520   1.00002270   1.00000000
     3   1.03067039e-06   0.99996974   2.75160950   1.00009079   2.99990921
     4   3.43619182e-06   0.99988653   2.09375016   1.00027234   5.99931917
     5   8.59437883e-06   0.99967334   1.70109778   1.00072595   9.99673340
     6   1.72074754e-05   0.99915397   1.43797832   1.00181308   14.98730958
     7   2.87519258e-05   0.99793311   1.24854420   1.00434114   20.95659526
     8   4.13119430e-05   0.99514412   1.10525377   1.01007411   27.86403536
     9   5.23088681e-05   0.98894893   0.99286512   1.02274382   35.60216132
    10   5.97736152e-05   0.97567085   0.90222818   1.04980158   43.90518803
    11   6.34128904e-05   0.94878014   0.82750461   1.10446692   52.18290787
    12   6.48776583e-05   0.89941184   0.76478755   1.20469059   59.36118171
    13   6.71509251e-05   0.82244862   0.71136063   1.36091916   64.15099209
    14   7.34236955e-05   0.72777928   0.66527483   1.55347573   66.22791412
    16   1.05509697e-04   0.57558400   0.58973697   1.86784644   69.07008006
    17   1.30987329e-04   0.53637340   0.55837201   1.95458192   72.94678257
    19   1.90268822e-04   0.49916688   0.50515651   2.06033798   85.35753655
    20   2.19140250e-04   0.48767894   0.48237769   2.11108729   92.65899818
    22   2.70575137e-04   0.46211546   0.44278000   2.25493156   106.74867181
    24   3.23284867e-04   0.42697912   0.40951446   2.47075031   117.84623781
    26   3.97024997e-04   0.38873294   0.38115645   2.71329464   126.33820711
    29   5.62984182e-04   0.34681037   0.34565554   3.00367266   140.80501211
    32   7.63490944e-04   0.32115074   0.31654018   3.23713526   159.29076596
    35   9.79824795e-04   0.29781198   0.29221021   3.50827541   177.19813047
    38   1.24661794e-03   0.27487998   0.27156170   3.80477661   193.24062567
    41   1.58063557e-03   0.25610587   0.25380788   4.07648442   210.00681416
    45   2.09145462e-03   0.23639606   0.23366467   4.42149797   234.03209583
    49   2.67535751e-03   0.21891096   0.21667271   4.78526152   257.43928782
    54   3.53942755e-03   0.20055710   0.19882531   5.22907744   286.99720504
    59   4.49833930e-03   0.18547956   0.18387654   5.66709424   317.35552864
    65   5.74570571e-03   0.17013086   0.16884709   6.19392420   353.87219492
    71   7.02145572e-03   0.15738071   0.15625140   6.71414513   391.09106344
    77   8.24196207e-03   0.14650099   0.14553569   7.23291218   428.66188743
    84   9.48185191e-03   0.13572203   0.13488702   7.83346388   473.12699668
    92   1.05168703e-02   0.12532835   0.12461771   8.51585260   524.62448548
   101   1.10628856e-02   0.11553179   0.11492743   9.27845759   583.43556064
   110   1.09191192e-02   0.10727736   0.10675563   10.03619010   643.12775801
   120   1.00510459e-02   0.09950152   0.09905233   10.87302247   710.44082054
   132   8.34466380e-03   0.09166530   0.09128371   11.87079375   792.53816063
   144   6.35561399e-03   0.08508373   0.08475465   12.86222103   876.02209657
