# Analytical C(K) for STC model with ER backbone
# c = 10.000000
# f = 0.100000
# <K> = 20.000000
# Kmax = 100000000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.025000
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
     2   4.74227626e-04   0.41696869   0.50966350   1.64781257   0.41696869
     3   1.07465131e-03   0.29908855   0.32408933   2.27284484   0.89726564
     4   2.11889241e-03   0.24304847   0.25113749   2.84726772   1.45829080
     5   3.75262005e-03   0.20761928   0.20967052   3.39230888   2.07619276
     6   6.10410019e-03   0.18274987   0.18444955   3.91450895   2.74124802
     7   9.25569054e-03   0.16413974   0.16472407   4.41839307   3.44693456
     8   1.32228328e-02   0.14958737   0.14957901   4.90722256   4.18844626
     9   1.79411391e-02   0.13783933   0.13750208   5.38331864   4.96221601
    10   2.32642251e-02   0.12812152   0.12759835   5.84843819   5.76546846
    11   2.89731641e-02   0.11992687   0.11929943   6.30395155   6.59597789
    12   3.47959135e-02   0.11290787   0.11222461   6.75095193   7.45191942
    13   4.04335406e-02   0.10681754   0.10610796   7.19032971   8.33176788
    14   4.55892102e-02   0.10147504   0.10075745   7.62282245   9.23422823
    16   5.34388061e-02   0.09252226   0.09181866   8.46953894   11.10267136
    17   5.57717452e-02   0.08872670   0.08803805   8.88474294   12.06683154
    19   5.68984382e-02   0.08217095   0.08151878   9.70081923   14.05123327
    20   5.57668578e-02   0.07931680   0.07868421   10.10233882   15.07019205
    22   5.07246050e-02   0.07428082   0.07368744   10.89369136   17.15886924
    24   4.31664233e-02   0.06997138   0.06941559   11.67094270   19.31210190
    26   3.45858862e-02   0.06623586   0.06571510   12.43557905   21.52665549
    29   2.24064610e-02   0.06147171   0.06099823   13.56151174   24.95751245
    32   1.30134118e-02   0.05748456   0.05705231   14.66513221   28.51234129
    35   6.85552516e-03   0.05409185   0.05369546   15.74908456   32.18465019
    38   3.30735958e-03   0.05116497   0.05079983   16.81550063   35.96897052
    41   1.47289742e-03   0.04861051   0.04827274   17.86613162   39.86062045
    45   4.47391413e-04   0.04566616   0.04535982   19.24491043   45.20949557
    49   1.20878283e-04   0.04314091   0.04286132   20.60106047   50.73371398
    54   2.03050371e-05   0.04044364   0.04019222   22.26794136   57.87485433
    59   2.94084693e-06   0.03814561   0.03791775   23.90678827   65.26713452
    65   2.42821684e-07   0.03579582   0.03559154   25.84057957   74.45530520
    71   1.68759169e-08   0.03379310   0.03360842   27.74248397   83.97585147
    77   1.00390715e-09   0.03206292   0.03189474   29.61589485   93.81609468
    84   3.12255739e-11   0.03031723   0.03016526   31.76923102   105.68585715
    92   4.78330173e-13   0.02860643   0.02846986   34.19200738   119.74651409
   101   3.40505898e-15   0.02696495   0.02684266   36.87422818   136.17300548
   110   1.92035618e-17   0.02555806   0.02544760   39.51543300   153.22059337
   120   4.76092096e-20   0.02421089   0.02411136   42.40709367   172.86574504
   132   2.61015753e-23   0.02282951   0.02274077   45.82370418   197.38394440
   144   1.05601767e-26   0.02164893   0.02156906   49.18831881   222.89739445
   157   1.63538227e-30   0.02054738   0.02047547   52.78090215   251.62319848
   172   4.57782104e-35   0.01945651   0.01939217   56.86558235   286.12739120
   188   4.33617733e-40   0.01845979   0.01840209   61.15857473   324.48624143
   206   6.30842160e-46   0.01749928   0.01744770   65.91771819   369.49737942
   225   2.79292547e-52   0.01663005   0.01658377   70.86891296   419.07734920
   246   1.64451127e-59   0.01580464   0.01576318   76.26402972   476.27294815
   268   2.69555999e-67   0.01505989   0.01502259   81.83810072   538.81279702
   293   2.22175610e-76   0.01433078   0.01429737   88.08554388   613.04225528
   321   7.98882938e-87   0.01363041   0.01360057   94.98464812   700.05800431
   351   2.67032450e-98   0.01298669   0.01295998   102.27381006   797.70738427
   383   7.79033564e-111   0.01239545   0.01237147   109.94411056   906.76407207
   419   2.89756207e-125   0.01182275   0.01180131   118.45742555   1035.33014472
   458   2.99525417e-141   0.01128915   0.01126995   127.55630831   1181.44313146
   501   2.92798889e-159   0.01078290   0.01076572   137.45480485   1350.55792756
   548   2.31621495e-179   0.01030682   0.01029146   148.13066080   1544.76584598
   599   1.28189262e-201   0.00986189   0.00984813   159.56342015   1766.27400586
   654   4.33514452e-226   0.00944780   0.00943547   171.73436545   2017.39816871
   715   9.61594417e-254   0.00905134   0.00904031   185.06066046   2310.40104199
   782   1.11293699e-284   0.00867580   0.00866592   199.51053808   2649.33733457
   855   5.42202462e-319   0.00832275   0.00831392   215.05463843   3038.51227213
   934   0.00000000e+00   0.00799260   0.00798469   231.66599364   3482.46586959
  1021   0.00000000e+00   0.00767822   0.00767113   249.73276458   3998.12388616
  1117   0.00000000e+00   0.00737844   0.00737210   269.42132469   4598.88013833
  1221   0.00000000e+00   0.00709765   0.00709197   290.48835437   5286.39935092
  1334   0.00000000e+00   0.00683341   0.00682832   313.10136558   6075.66238970
  1459   0.00000000e+00   0.00658023   0.00657567   337.81430682   6998.80347972
  1595   0.00000000e+00   0.00634160   0.00633752   364.37948283   8061.53518284
  1743   0.00000000e+00   0.00611635   0.00611270   392.94620551   9285.55765085
  1906   0.00000000e+00   0.00590109   0.00589782   424.03780149   10713.22769730
  2083   0.00000000e+00   0.00569815   0.00569522   457.40537459   12355.89146241
  2277   0.00000000e+00   0.00550486   0.00550224   493.55452471   14264.34754518
  2489   0.00000000e+00   0.00532123   0.00531888   532.60357465   16476.22041118
  2721   0.00000000e+00   0.00514643   0.00514432   574.84880748   19044.66852519
  2975   0.00000000e+00   0.00497988   0.00497799   620.57561148   22030.09610360
  3252   0.00000000e+00   0.00482169   0.00482000   669.88223071   25488.06400804
  3555   0.00000000e+00   0.00467088   0.00466937   723.21550191   29507.07105568
  3886   0.00000000e+00   0.00452721   0.00452585   780.83255062   34173.89481683
  4248   0.00000000e+00   0.00439009   0.00438887   843.15379929   39601.34008999
  4644   0.00000000e+00   0.00425911   0.00425802   910.58500427   45917.66292520
  5077   0.00000000e+00   0.00413399   0.00413301   983.51828832   53268.20161090
  5550   0.00000000e+00   0.00401449   0.00401361   1062.33315208   61817.10065387
  6067   0.00000000e+00   0.00390023   0.00389944   1147.56145039   71768.97351855
  6632   0.00000000e+00   0.00379091   0.00379021   1239.71746316   83356.13028890
  7250   0.00000000e+00   0.00368618   0.00368554   1339.45972519   96863.97411473
  7926   0.00000000e+00   0.00358577   0.00358520   1447.42503758   112617.41867853
  8664   0.00000000e+00   0.00348963   0.00348912   1564.07273195   130959.41266562
  9471   0.00000000e+00   0.00339738   0.00339692   1690.31678649   152356.24660100
 10354   0.00000000e+00   0.00330875   0.00330834   1827.04109642   177340.92892076
 11319   0.00000000e+00   0.00322366   0.00322330   1974.94896093   206489.34543001
 12373   0.00000000e+00   0.00314197   0.00314163   2134.87464469   240484.10131395
 13526   0.00000000e+00   0.00306335   0.00306306   2308.07649450   280203.77043522
 14786   0.00000000e+00   0.00298775   0.00298749   2495.47668179   326577.87850676
 16164   0.00000000e+00   0.00291495   0.00291471   2698.41111297   380778.03041505
 17670   0.00000000e+00   0.00284485   0.00284464   2918.02961506   444097.45455755
 19316   0.00000000e+00   0.00277732   0.00277713   3155.73691706   518092.96037156
 21116   0.00000000e+00   0.00271219   0.00271201   3413.18137389   604633.72439835
 23083   0.00000000e+00   0.00264938   0.00264923   3691.82137711   705798.25228488
 25234   0.00000000e+00   0.00258875   0.00258861   3993.63366731   824168.02472064
 27585   0.00000000e+00   0.00253022   0.00253010   4320.39845912   962629.69071241
 30155   0.00000000e+00   0.00247369   0.00247357   4674.25803352   1124653.61927579
 32965   0.00000000e+00   0.00241903   0.00241893   5057.56556502   1314331.66811523
 36036   0.00000000e+00   0.00236621   0.00236611   5472.60779835   1536327.27184410
 39394   0.00000000e+00   0.00231509   0.00231501   5922.27617293   1796335.70267969
 43064   0.00000000e+00   0.00226564   0.00226557   6409.24854818   2100775.13615804
 47077   0.00000000e+00   0.00221775   0.00221768   6936.91696215   2457486.18281823
 51463   0.00000000e+00   0.00217138   0.00217132   7508.44956401   2875326.95909981
 56258   0.00000000e+00   0.00212644   0.00212639   8127.70272502   3364996.96354417
 61500   0.00000000e+00   0.00208289   0.00208284   8798.68323872   3938933.93882915
 67230   0.00000000e+00   0.00204065   0.00204061   9525.67052870   4611677.58589830
 73493   0.00000000e+00   0.00199969   0.00199965   10313.33270574   5400313.04516384
 80341   0.00000000e+00   0.00195993   0.00195990   11167.08510390   6325289.39952764
 87826   0.00000000e+00   0.00192135   0.00192131   12092.19982409   7409974.30121684
 96009   0.00000000e+00   0.00188387   0.00188384   13094.91340638   8682415.83873804
104955   0.00000000e+00   0.00184747   0.00184744   14181.78472479   10175339.75069140
114733   0.00000000e+00   0.00181210   0.00181208   15359.68536298   11926827.83720716
125423   0.00000000e+00   0.00177772   0.00177770   16636.62354022   13982470.02042457
137109   0.00000000e+00   0.00174429   0.00174427   18020.87573533   16395226.24036918
149884   0.00000000e+00   0.00171178   0.00171176   19521.56555567   19227588.88440771
163849   0.00000000e+00   0.00168015   0.00168013   21148.51836901   22552885.20134038
179115   0.00000000e+00   0.00164937   0.00164935   22912.46870914   26457477.40537376
195803   0.00000000e+00   0.00161940   0.00161939   24825.02977181   31042844.58117722
214046   0.00000000e+00   0.00159023   0.00159022   26898.89133577   36428556.16143291
233989   0.00000000e+00   0.00156182   0.00156181   29147.78408513   42755170.84529248
255791   0.00000000e+00   0.00153413   0.00153412   31586.66906662   50188233.22785234
279623   0.00000000e+00   0.00150716   0.00150715   34231.47662845   58921501.16223139
305676   0.00000000e+00   0.00148087   0.00148086   37099.95510977   69184447.75034490
334156   0.00000000e+00   0.00145524   0.00145523   40211.06592052   81246055.54412697
365290   0.00000000e+00   0.00143025   0.00143024   43585.59524206   95423662.63360180
399324   0.00000000e+00   0.00140587   0.00140587   47245.88122636   112089788.56203419
436530   0.00000000e+00   0.00138209   0.00138209   51216.51152461   131684485.63858905
477202   0.00000000e+00   0.00135889   0.00135889   55523.82941660   154724065.09356040
521664   0.00000000e+00   0.00133624   0.00133624   60196.71993694   181817870.85863933
570268   0.00000000e+00   0.00131414   0.00131413   65266.32257121   213682055.60619706
623401   0.00000000e+00   0.00129255   0.00129255   70766.68637974   251161397.31969962
681484   0.00000000e+00   0.00127148   0.00127147   76734.57835733   295249340.15087074
744979   0.00000000e+00   0.00125089   0.00125089   83210.11471261   347117295.34497249
814390   0.00000000e+00   0.00123078   0.00123077   90236.76079588   408144263.75841653
890268   0.00000000e+00   0.00121113   0.00121112   97861.73332278   479954705.36556298
973215   0.00000000e+00   0.00119192   0.00119192   106136.28762797   564461998.68779016
1063891   0.00000000e+00   0.00117315   0.00117315   115116.29062558   663922528.14682293
1163015   0.00000000e+00   0.00115480   0.00115480   124862.18353885   780992279.89536548
1271375   0.00000000e+00   0.00113686   0.00113685   135439.82413483   918803404.77191997
1389831   0.00000000e+00   0.00111931   0.00111931   146920.61972687   1081045358.83456397
1519324   0.00000000e+00   0.00110215   0.00110215   159382.23282468   1272067654.32991791
1660881   0.00000000e+00   0.00108536   0.00108536   172908.87933117   1496994331.02682304
1815628   0.00000000e+00   0.00106893   0.00106893   187592.37414083   1761870845.01781702
1984793   0.00000000e+00   0.00105286   0.00105286   203532.19787230   2073819176.85688829
2169719   0.00000000e+00   0.00103713   0.00103713   220836.49736591   2441236638.57597828
2371875   0.00000000e+00   0.00102173   0.00102173   239622.86412292   2874025797.09382248
2592866   0.00000000e+00   0.00100666   0.00100666   260018.99358059   3383861268.79326963
2834447   0.00000000e+00   0.00099190   0.00099190   282163.68805898   3984510999.76396656
3098537   0.00000000e+00   0.00097745   0.00097745   306207.82461711   4692213035.20291519
3387232   0.00000000e+00   0.00096330   0.00096330   332315.19976756   5526113417.91371918
3702825   0.00000000e+00   0.00094943   0.00094943   360663.97354420   6508799214.11040592
4047823   0.00000000e+00   0.00093585   0.00093585   391447.79626585   7666914880.49476051
4424965   0.00000000e+00   0.00092255   0.00092255   424876.98658838   9031886208.21102524
4837245   0.00000000e+00   0.00090951   0.00090951   461180.11020853   10640785728.63177490
5287938   0.00000000e+00   0.00089673   0.00089673   500605.76721472   12537360067.95024681
5780623   0.00000000e+00   0.00088421   0.00088421   543424.05953621   14773221235.32911682
6319213   0.00000000e+00   0.00087194   0.00087194   589928.61442789   17409272686.51890182
6907983   0.00000000e+00   0.00085990   0.00085990   640438.37022992   20517370125.00414276
7551610   0.00000000e+00   0.00084810   0.00084810   695300.32553653   24182331841.57368851
8255205   0.00000000e+00   0.00083653   0.00083653   754891.52135301   28504251927.07637024
9024354   0.00000000e+00   0.00082519   0.00082519   819621.71745716   33601261491.52113724
9865167   0.00000000e+00   0.00081406   0.00081406   889936.65027710   39612822054.21436310
10784319   0.00000000e+00   0.00080315   0.00080315   966320.52256590   46703528578.80699158
11789110   0.00000000e+00   0.00079244   0.00079244   1049299.98261784   55067710168.83507538
12887518   0.00000000e+00   0.00078193   0.00078193   1139447.40273052   64934770847.04407501
14088267   0.00000000e+00   0.00077162   0.00077162   1237385.27766150   76575583020.57896423
15400892   0.00000000e+00   0.00076151   0.00076151   1343790.24215456   90309958030.45634460
16835816   0.00000000e+00   0.00075158   0.00075158   1459397.93055794   106515525190.36143494
18404434   0.00000000e+00   0.00074183   0.00074183   1585008.24573408   125638226935.38989258
20119202   0.00000000e+00   0.00073227   0.00073227   1721490.86352899   148204688434.12185669
21993738   0.00000000e+00   0.00072288   0.00072288   1869791.51751027   174836882520.32644653
24042927   0.00000000e+00   0.00071366   0.00071366   2030938.40678218   206269387002.38378906
26283042   0.00000000e+00   0.00070460   0.00070460   2206049.65993657   243369868576.17108154
28731872   0.00000000e+00   0.00069571   0.00069571   2396341.11728392   287163232974.71801758
31408863   0.00000000e+00   0.00068698   0.00068698   2603134.88377472   338860183820.06805420
34335273   0.00000000e+00   0.00067841   0.00067841   2827868.70134279   399890997927.86138916
37534341   0.00000000e+00   0.00066998   0.00066998   3072106.11123652   471945446802.95477295
41031471   0.00000000e+00   0.00066171   0.00066171   3337547.45435158   557019974719.51501465
44854434   0.00000000e+00   0.00065358   0.00065358   3626041.90617642   657473493406.19213867
49033587   0.00000000e+00   0.00064559   0.00064559   3939600.43509423   776093298013.52709961
53602119   0.00000000e+00   0.00063774   0.00063774   4280410.39656971   916173196351.64501953
58596308   0.00000000e+00   0.00063003   0.00063003   4650850.52069165   1081605542849.47094727
64055812   0.00000000e+00   0.00062244   0.00062244   5053507.97561195   1276990353836.69946289
70023987   0.00000000e+00   0.00061499   0.00061499   5491196.92025337   1507764377195.85473633
76548225   0.00000000e+00   0.00060767   0.00060767   5966977.98648649   1780353361479.99731445
83680336   0.00000000e+00   0.00060047   0.00060047   6484180.39845519   2102352617756.41186523
91476957   0.00000000e+00   0.00059339   0.00059339   7046425.41308627   2482740239194.25195312
100000000   0.00000000e+00   0.00058643   0.00058643   7657651.89874429   2932129291918.46337891
