# Analytical C(K) for STC model with ER backbone
# c = 3.000000
# f = 0.100000
# <K> = 3.900000
# Kmax = 100000000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.059172
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
  6632   0.00000000e+00   0.00451163   0.00451080   1363.64306334   99203.54026707
  7250   0.00000000e+00   0.00438487   0.00438413   1472.25005299   115224.09436212
  7926   0.00000000e+00   0.00426320   0.00426254   1589.73571060   133893.44827009
  8664   0.00000000e+00   0.00414657   0.00414598   1716.58909523   155613.11045258
  9471   0.00000000e+00   0.00403453   0.00403400   1853.79264912   180929.40520886
 10354   0.00000000e+00   0.00392679   0.00392631   2002.29440542   210465.99236396
 11319   0.00000000e+00   0.00382325   0.00382282   2162.84484531   244895.42958393
 12373   0.00000000e+00   0.00372376   0.00372338   2336.33546007   285014.32973732
 13526   0.00000000e+00   0.00362796   0.00362762   2524.11609624   331848.08405654
 14786   0.00000000e+00   0.00353577   0.00353546   2727.17016277   386479.17524678
 16164   0.00000000e+00   0.00344694   0.00344666   2946.92764787   450271.89192044
 17670   0.00000000e+00   0.00336138   0.00336113   3184.61494272   524729.61454034
 19316   0.00000000e+00   0.00327891   0.00327868   3441.73239046   611661.06012657
 21116   0.00000000e+00   0.00319934   0.00319914   3720.04143331   713236.33319530
 23083   0.00000000e+00   0.00312260   0.00312242   4021.09566864   831864.74780607
 25234   0.00000000e+00   0.00304851   0.00304835   4347.00621744   970537.90153904
 27585   0.00000000e+00   0.00297697   0.00297683   4699.66901067   1132595.93516121
 30155   0.00000000e+00   0.00290787   0.00290773   5081.36790610   1322051.94505756
 32965   0.00000000e+00   0.00284107   0.00284095   5494.61087129   1543633.49575651
 36036   0.00000000e+00   0.00277650   0.00277639   5941.83082157   1802721.72346218
 39394   0.00000000e+00   0.00271404   0.00271394   6426.10859545   2105885.49850829
 43064   0.00000000e+00   0.00265361   0.00265353   6950.29089938   2460517.11125795
 47077   0.00000000e+00   0.00259512   0.00259504   7517.98901413   2875643.30125098
 51463   0.00000000e+00   0.00253849   0.00253842   8132.56861539   3361448.39109267
 56258   0.00000000e+00   0.00248363   0.00248357   8798.13071848   3930227.08000522
 61500   0.00000000e+00   0.00243047   0.00243042   9518.93252495   4596256.90374378
 67230   0.00000000e+00   0.00237896   0.00237891   10299.51851490   5376212.82318034
 73493   0.00000000e+00   0.00232901   0.00232897   11144.84457727   6289672.29923404
 80341   0.00000000e+00   0.00228056   0.00228052   12060.66185706   7360051.87138346
 87826   0.00000000e+00   0.00223356   0.00223352   13052.56070795   8614078.64402399
 96009   0.00000000e+00   0.00218794   0.00218791   14127.15825537   10083813.82790795
104955   0.00000000e+00   0.00214365   0.00214362   15291.40875061   11806630.52935676
114733   0.00000000e+00   0.00210065   0.00210062   16552.59293298   13825977.80224606
125423   0.00000000e+00   0.00205887   0.00205885   17919.19933502   16193838.51772674
137109   0.00000000e+00   0.00201828   0.00201826   19399.99333359   18970540.93952693
149884   0.00000000e+00   0.00197883   0.00197881   21004.63590752   22227217.15275073
163849   0.00000000e+00   0.00194047   0.00194045   22743.52690468   26047262.84460857
179115   0.00000000e+00   0.00190317   0.00190316   24628.02558366   30528821.68694392
195803   0.00000000e+00   0.00186690   0.00186688   26670.41664232   35787123.99526662
214046   0.00000000e+00   0.00183160   0.00183159   28884.12018088   41957837.62052665
233989   0.00000000e+00   0.00179725   0.00179724   31283.65201401   49200320.07280770
255791   0.00000000e+00   0.00176381   0.00176380   33884.82423050   57702113.55738403
279623   0.00000000e+00   0.00173126   0.00173125   36704.46513836   67682543.70552145
305676   0.00000000e+00   0.00169956   0.00169955   39761.32237529   79401185.36672761
334156   0.00000000e+00   0.00166868   0.00166867   43075.41578550   93162064.79943410
365290   0.00000000e+00   0.00163859   0.00163858   46668.68719238   109323606.24147758
399324   0.00000000e+00   0.00160927   0.00160926   50564.70745282   128306239.41574845
436530   0.00000000e+00   0.00158069   0.00158068   54789.41654455   150606267.53047332
477202   0.00000000e+00   0.00155282   0.00155282   59370.59515624   176805561.15164411
521664   0.00000000e+00   0.00152565   0.00152565   64338.69824083   207590362.26890087
570268   0.00000000e+00   0.00149916   0.00149915   69726.54621508   243766615.56581008
623401   0.00000000e+00   0.00147331   0.00147330   75570.01805064   286284367.62759686
