# Analytical C(K) for STC model with ER backbone
# c = 10.000000
# f = 0.100000
# <K> = 20.000000
# Kmax = 100000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.025000
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
     2   4.74227626e-04   0.41696869   0.50966350   1.64781257   0.41696869
     3   1.07465131e-03   0.29908855   0.32408933   2.27284484   0.89726564
     4   2.11889241e-03   0.24304847   0.25113749   2.84726772   1.45829080
     5   3.75262005e-03   0.20761928   0.20967052   3.39230888   2.07619276
     6   6.10410019e-03   0.18274987   0.18444955   3.91450895   2.74124802
     7   9.25569054e-03   0.16413974   0.16472407   4.41839307   3.44693456
     8   1.32228328e-02   0.14958737   0.14957901   4.90722256   4.18844626
     9   1.79411391e-02   0.13783933   0.13750208   5.38331864   4.96221601
    10   2.32642251e-02   0.12812152   0.12759835   5.84843819   5.76546846
    11   2.89731641e-02   0.11992687   0.11929943   6.30395155   6.59597789
    12   3.47959135e-02   0.11290787   0.11222461   6.75095193   7.45191942
    13   4.04335406e-02   0.10681754   0.10610796   7.19032971   8.33176788
    14   4.55892102e-02   0.10147504   0.10075745   7.62282245   9.23422823
    15   4.99958202e-02   0.09674463   0.09603047   8.04904983   10.15818605
    16   5.34388061e-02   0.09252226   0.09181866   8.46953894   11.10267136
    17   5.57717452e-02   0.08872670   0.08803805   8.88474294   12.06683154
    18   5.69236934e-02   0.08529353   0.08462241   9.29505502   13.04991062
    19   5.68984382e-02   0.08217095   0.08151878   9.70081923   14.05123327
    20   5.57668578e-02   0.07931680   0.07868421   10.10233882   15.07019205
    21   5.36542291e-02   0.07669637   0.07608349   10.49988283   16.10623736
    22   5.07246050e-02   0.07428082   0.07368744   10.89369136   17.15886924
    23   4.71643260e-02   0.07204597   0.07147167   11.28397989   18.22763064
    24   4.31664233e-02   0.06997138   0.06941559   11.67094270   19.31210190
    26   3.45858862e-02   0.06623586   0.06571510   12.43557905   21.52665549
    27   3.03173653e-02   0.06454714   0.06404285   12.81355874   22.65604756
    29   2.24064610e-02   0.06147171   0.06099823   13.56151174   24.95751245
    30   1.89108923e-02   0.06006673   0.05960764   13.93172144   26.12902558
    32   1.30134118e-02   0.05748456   0.05705231   14.66513221   28.51234129
    34   8.57548717e-03   0.05516551   0.05475771   15.38981198   30.94784956
    36   5.42728864e-03   0.05306967   0.05268417   16.10641176   33.43389013
    38   3.30735958e-03   0.05116497   0.05079983   16.81550063   35.96897052
    40   1.94512115e-03   0.04942531   0.04907881   17.51757982   38.55174032
    42   1.10628002e-03   0.04782923   0.04749982   18.21309371   41.18097061
    44   6.09583032e-04   0.04635892   0.04604521   18.90243873   43.85553722
    47   2.35806653e-04   0.04435722   0.04406478   19.92565759   47.95015485
    49   1.20878283e-04   0.04314091   0.04286132   20.60106047   50.73371398
    52   4.22300874e-05   0.04146881   0.04120674   21.60474235   54.98764379
    55   1.39543628e-05   0.03995526   0.03970889   22.59784870   59.33356367
    58   4.37654408e-06   0.03857779   0.03834554   23.58110921   63.76909214
    61   1.30688176e-06   0.03731807   0.03709858   24.55516803   68.29206206
    65   2.42821684e-07   0.03579582   0.03559154   25.84057957   74.45530520
    69   4.17937513e-08   0.03442721   0.03423638   27.11183542   80.76622672
    72   1.06541602e-08   0.03348748   0.03330575   28.05661582   85.59400639
    76   1.62321816e-09   0.03233486   0.03216412   29.30551350   92.15433756
    81   1.41302370e-10   0.03103345   0.03087489   30.85040615   100.54838119
    85   1.87434630e-11   0.03008822   0.02993834   32.07421620   107.41493170
    90   1.38714667e-12   0.02900945   0.02886930   33.58989135   116.18286176
    95   9.45721167e-14   0.02802947   0.02789798   35.09093418   125.15159941
   100   5.96943954e-15   0.02713470   0.02701095   36.57831429   134.31676169
   106   1.97087491e-16   0.02615788   0.02604242   38.34633959   145.56859878
   112   5.90089109e-18   0.02527207   0.02516395   40.09723611   157.09115842
   118   1.61187161e-19   0.02446453   0.02436297   41.83215704   168.87864291
   125   2.16713163e-21   0.02360755   0.02351278   43.83739522   182.95847399
   132   2.61015753e-23   0.02282951   0.02274077   45.82370418   197.38394440
   139   2.83525617e-25   0.02211949   0.02203612   47.79234323   212.14798412
   147   1.43329134e-27   0.02137987   0.02130198   50.02200563   229.42743520
   155   6.43184784e-30   0.02070647   0.02063343   52.23151694   247.13171987
   164   1.28470833e-32   0.02001696   0.01994877   54.69474630   267.54669389
   173   2.24677128e-35   0.01938959   0.01932571   57.13575461   288.47833095
   182   3.46778646e-38   0.01881591   0.01875586   59.55598768   309.91682285
   193   1.08281466e-41   0.01817760   0.01812172   62.48769916   336.79460637
   203   6.10392839e-45   0.01764920   0.01759668   65.12936721   361.86149946
   215   6.51050728e-49   0.01707115   0.01702220   68.27178716   392.72177412
   227   5.84158619e-53   0.01654584   0.01650006   71.38609297   424.41726712
   239   4.45569765e-57   0.01606598   0.01602302   74.47413725   456.93266261
   253   5.77149472e-62   0.01555570   0.01551565   78.04584572   495.88476247
   267   6.15066844e-67   0.01509146   0.01505399   81.58634668   535.91297317
   282   2.36119953e-72   0.01463802   0.01460299   85.34741791   579.97291943
   297   7.43852068e-78   0.01422388   0.01419103   89.07721264   625.22482516
   314   3.45740672e-84   0.01379553   0.01376486   93.26897280   677.92618981
   332   5.33819131e-91   0.01338294   0.01335432   97.66906904   735.33885538
   350   6.50949546e-98   0.01300663   0.01297983   102.03242988   794.38011424
   370   1.04377752e-105   0.01262519   0.01260017   106.84036434   861.85884419
   390   1.29401118e-113   0.01227712   0.01225368   111.60867649   931.28074943
   412   1.96495972e-122   0.01192748   0.01190558   116.81105084   1009.85161684
   435   8.83609221e-132   0.01159410   0.01157363   122.20510064   1094.42498396
   460   4.44025081e-142   0.01126385   0.01124475   128.01969575   1189.12419666
   485   1.63130831e-152   0.01096245   0.01094457   133.78706728   1286.66334273
   512   6.29956149e-164   0.01066493   0.01064822   139.96624586   1395.14375561
   541   2.42419240e-176   0.01037332   0.01035771   146.54951137   1515.23150119
   571   2.40918132e-189   0.01009796   0.01008336   153.30514781   1643.29083768
   603   2.20784392e-203   0.00982966   0.00981602   160.45391664   1784.11298978
   637   1.77733143e-218   0.00956943   0.00955669   167.98895998   1938.44049319
   672   3.39338979e-234   0.00932462   0.00931269   175.68471745   2102.29054499
   710   1.85687737e-251   0.00908171   0.00907057   183.97470748   2285.82033662
   750   7.79690382e-270   0.00884824   0.00883784   192.63223680   2485.25024769
   791   7.06402481e-289   0.00862938   0.00861965   201.43774746   2696.20716581
   836   5.27344649e-310   0.00840974   0.00840065   211.02774278   2935.25197239
   882   0.00000000e+00   0.00820446   0.00819596   220.75536978   3187.60690471
   932   0.00000000e+00   0.00800039   0.00799245   231.24796550   3470.93883801
   984   0.00000000e+00   0.00780636   0.00779894   242.07664353   3775.43726220
  1039   0.00000000e+00   0.00761858   0.00761164   253.44330009   4108.25140118
  1097   0.00000000e+00   0.00743736   0.00743087   265.33958499   4471.01384970
  1158   0.00000000e+00   0.00726286   0.00725680   277.75755996   4865.41328018
  1223   0.00000000e+00   0.00709263   0.00708696   290.89100464   5299.98906655
  1291   0.00000000e+00   0.00692955   0.00692425   304.52851150   5770.20166463
  1363   0.00000000e+00   0.00677135   0.00676640   318.86176633   6285.18967097
  1439   0.00000000e+00   0.00661835   0.00661372   333.88015478   6847.61638114
  1520   0.00000000e+00   0.00646896   0.00646463   349.76902380   7468.03083170
  1605   0.00000000e+00   0.00632534   0.00632129   366.32049189   8142.03997423
  1694   0.00000000e+00   0.00618744   0.00618366   383.52553197   8872.61097283
  1789   0.00000000e+00   0.00605245   0.00604891   401.75809043   9680.08766001
  1889   0.00000000e+00   0.00592216   0.00591885   420.81206538   10560.48710908
  1995   0.00000000e+00   0.00579549   0.00579239   440.86449360   11527.31031361
  2106   0.00000000e+00   0.00567378   0.00567088   461.71332890   12576.29603831
  2224   0.00000000e+00   0.00555503   0.00555232   483.72004236   13731.88920864
  2348   0.00000000e+00   0.00544047   0.00543794   506.68264238   14990.56142762
  2479   0.00000000e+00   0.00532934   0.00532697   530.77157968   16368.96312501
  2618   0.00000000e+00   0.00522105   0.00521884   556.15289269   17885.49825181
  2764   0.00000000e+00   0.00511657   0.00511450   582.62694190   19537.43358068
  2919   0.00000000e+00   0.00501465   0.00501272   610.53832081   21356.51008887
  3082   0.00000000e+00   0.00491617   0.00491436   639.68786703   23341.08060221
  3254   0.00000000e+00   0.00482062   0.00481893   670.23625425   25513.78764600
  3436   0.00000000e+00   0.00472767   0.00472608   702.34020188   27899.51484449
  3628   0.00000000e+00   0.00463748   0.00463600   735.97800470   30511.70812759
  3830   0.00000000e+00   0.00455017   0.00454879   771.12898551   33364.31119399
  4044   0.00000000e+00   0.00446506   0.00446376   808.11803165   36501.61493598
  4270   0.00000000e+00   0.00438233   0.00438112   846.91961577   39941.92786242
  4509   0.00000000e+00   0.00430179   0.00430066   887.67937439   43720.36700196
  4761   0.00000000e+00   0.00422361   0.00422255   930.37077123   47858.48646354
  5027   0.00000000e+00   0.00414760   0.00414661   975.13627095   52396.01873060
  5308   0.00000000e+00   0.00407363   0.00407270   1022.11519485   57376.16917549
  5604   0.00000000e+00   0.00400183   0.00400096   1071.27829150   62827.08847190
  5917   0.00000000e+00   0.00393184   0.00393103   1122.92666945   68816.95491893
  6248   0.00000000e+00   0.00386361   0.00386285   1177.19091788   75400.78827984
  6597   0.00000000e+00   0.00379728   0.00379657   1234.03660281   82617.03098121
  6966   0.00000000e+00   0.00373260   0.00373193   1293.75354986   90549.39048423
  7355   0.00000000e+00   0.00366969   0.00366907   1356.30438683   99244.35529328
  7766   0.00000000e+00   0.00360836   0.00360778   1421.97204162   108797.54686407
  8200   0.00000000e+00   0.00354859   0.00354805   1490.87487727   119289.19531536
  8658   0.00000000e+00   0.00349037   0.00348986   1563.12916333   130805.53833532
  9142   0.00000000e+00   0.00343355   0.00343307   1639.00546744   143465.82235003
  9653   0.00000000e+00   0.00337815   0.00337770   1718.61327518   157372.52466764
 10192   0.00000000e+00   0.00332417   0.00332375   1802.06036905   172635.40586582
 10761   0.00000000e+00   0.00327152   0.00327113   1889.60632075   189401.92071621
 11363   0.00000000e+00   0.00322004   0.00321967   1981.65787655   207863.70144528
 11998   0.00000000e+00   0.00316984   0.00316950   2078.15845748   228133.60744384
 12668   0.00000000e+00   0.00312088   0.00312055   2179.35524830   250396.64755593
 13376   0.00000000e+00   0.00307303   0.00307273   2285.64038291   274888.45322325
 14123   0.00000000e+00   0.00302633   0.00302605   2397.10033044   301793.29792253
 14912   0.00000000e+00   0.00298070   0.00298044   2514.11661186   331383.60705899
 15746   0.00000000e+00   0.00293607   0.00293582   2637.06307471   363956.52057524
 16625   0.00000000e+00   0.00289254   0.00289231   2765.86787382   399711.15370533
 17554   0.00000000e+00   0.00284995   0.00284973   2901.18864566   439070.37636487
 18535   0.00000000e+00   0.00280831   0.00280810   3043.23604043   482365.29721303
 19571   0.00000000e+00   0.00276758   0.00276739   3192.36102901   529998.19851388
 20665   0.00000000e+00   0.00272775   0.00272757   3348.90819774   582404.72852327
 21819   0.00000000e+00   0.00268883   0.00268866   3513.07417428   640005.07851932
 23038   0.00000000e+00   0.00265074   0.00265058   3685.47610457   703407.78260764
 24326   0.00000000e+00   0.00261343   0.00261329   3866.57876778   773223.32429066
 25685   0.00000000e+00   0.00257695   0.00257681   4056.55965544   849999.04019388
 27120   0.00000000e+00   0.00254124   0.00254111   4256.01029216   934498.65892439
 28635   0.00000000e+00   0.00250628   0.00250616   4465.37332005   1027491.35981125
 30235   0.00000000e+00   0.00247203   0.00247192   4685.22087402   1129873.83566254
 31925   0.00000000e+00   0.00243848   0.00243838   4916.11479275   1242619.88429792
 33709   0.00000000e+00   0.00240563   0.00240553   5158.47155947   1366714.52115304
 35592   0.00000000e+00   0.00237345   0.00237336   5412.83593413   1503292.21383907
 37581   0.00000000e+00   0.00234191   0.00234182   5680.01146327   1653734.13178825
 39681   0.00000000e+00   0.00231100   0.00231092   5960.52058615   1819384.79079765
 41898   0.00000000e+00   0.00228071   0.00228063   6255.00997709   2001778.18354045
 44239   0.00000000e+00   0.00225101   0.00225094   6564.24727811   2202661.94421157
 46711   0.00000000e+00   0.00222188   0.00222182   6888.98692823   2423932.66891836
 49321   0.00000000e+00   0.00219333   0.00219326   7229.97069610   2667645.66409070
 52077   0.00000000e+00   0.00216531   0.00216525   7588.05778671   2936124.53460604
 54987   0.00000000e+00   0.00213784   0.00213778   7964.09296933   3231889.41512064
 58059   0.00000000e+00   0.00211088   0.00211083   8358.90716763   3557669.67635891
 61303   0.00000000e+00   0.00208443   0.00208438   8773.57301258   3916643.10270923
 64729   0.00000000e+00   0.00205847   0.00205842   9209.14497907   4312262.83911447
 68345   0.00000000e+00   0.00203299   0.00203295   9666.40785647   4748029.63011669
 72164   0.00000000e+00   0.00200798   0.00200794   10146.76230879   5228356.36673883
 76197   0.00000000e+00   0.00198342   0.00198339   10651.33533075   5757785.03108085
 80454   0.00000000e+00   0.00195932   0.00195928   11181.11185253   6341095.76469126
 84950   0.00000000e+00   0.00193564   0.00193560   11737.67957403   6984176.58024888
 89696   0.00000000e+00   0.00191238   0.00191235   12322.10808131   7692833.00001867
 94708   0.00000000e+00   0.00188954   0.00188951   12936.06228227   8474123.69869470
100000   0.00000000e+00   0.00186710   0.00186707   13580.93645658   9335398.41953372
