# Analytical C(K) for STC model with ER backbone
# c = 4.000000
# f = 0.100000
# <K> = 5.600000
# Kmax = 100000000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.051020
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
     2   8.54817202e-02   0.30682047   -nan   1.77019948   0.30682047
     3   1.15442484e-01   0.24208534   0.26589271   2.47568801   0.72625601
     4   1.31647890e-01   0.20570926   0.21438329   3.13162430   1.23425554
     5   1.32299998e-01   0.18101679   0.18405919   3.75352461   1.81016793
     6   1.20319329e-01   0.16284814   0.16331176   4.34908887   2.44272207
     7   1.00801634e-01   0.14876933   0.14919957   4.92352789   3.12415595
     8   7.87919443e-02   0.13746030   0.13730453   5.48045483   3.84888830
     9   5.80108236e-02   0.12813064   0.12764920   6.02251639   4.61270294
    10   4.05270744e-02   0.12027327   0.11960869   6.55172607   5.41229737
    11   2.70228353e-02   0.11354568   0.11277993   7.06966053   6.24501220
    12   1.72794482e-02   0.10770693   0.10688887   7.57758396   7.10865754
    13   1.06377383e-02   0.10258201   0.10174147   8.07652979   8.00139684
    14   6.32590842e-03   0.09804029   0.09719576   8.56735667   8.92166625
    16   2.03817093e-03   0.09032977   0.08950746   9.52744026   10.83957186
    17   1.10928999e-03   0.08702203   0.08621873   9.99784474   11.83499544
    19   3.04898966e-04   0.08125243   0.08049340   10.92169968   13.89416500
    20   1.54451801e-04   0.07871761   0.07798186   11.37591164   14.95634683
    22   3.72424732e-05   0.07421012   0.07352049   12.27049599   17.14253840
    24   8.32460097e-06   0.07031647   0.06967071   13.14837565   19.40734564
    26   1.73752181e-06   0.06691325   0.06630824   14.01130716   21.74680677
    29   1.47622986e-07   0.06253369   0.06198353   15.28079052   25.38867648
    32   1.10811145e-08   0.05883334   0.05833095   16.52382956   29.18133562
    35   7.44832161e-10   0.05565849   0.05519763   17.74355972   33.11680347
    38   4.53257102e-11   0.05289950   0.05247484   18.94251089   37.18835084
    41   2.51999309e-12   0.05047587   0.05008290   20.12276228   41.39021225
    45   4.70763795e-14   0.04766348   0.04730694   21.67030225   47.18684239
    49   7.70779241e-16   0.04523476   0.04490923   23.19105272   53.19607996
    54   3.82152715e-18   0.04262292   0.04233007   25.05849473   60.99339535
    59   1.60400341e-20   0.04038266   0.04011718   26.89278014   69.09473579
    65   1.85025850e-23   0.03807706   0.03783897   29.05512221   79.20028591
    71   1.75948649e-26   0.03609960   0.03588429   31.17979588   89.70749400
    77   1.40576257e-29   0.03438165   0.03418554   33.27083123   100.60069757
    84   2.80345444e-33   0.03263892   0.03246167   35.67225346   113.77927227
    92   1.30549240e-37   0.03092149   0.03076217   38.37172319   129.43734749
   101   1.33078599e-42   0.02926437   0.02912169   41.35749375   147.78505655
   110   1.04640112e-47   0.02783651   0.02770762   44.29498017   166.87987376
   120   1.69387036e-53   0.02646241   0.02634627   47.50826025   188.94160289
   132   1.35086843e-60   0.02504615   0.02494260   51.30145381   216.54896991
   144   7.68568781e-68   0.02382963   0.02373644   55.03358473   245.34991226
   157   7.72498057e-76   0.02268923   0.02260533   59.01522223   277.85227767
   172   3.06073930e-85   0.02155457   0.02147951   63.53836154   316.98150099
   188   1.86995016e-95   0.02051301   0.02044569   68.28807336   360.57767512
   206   3.76284317e-107   0.01950470   0.01944453   73.54901876   411.84163753
   225   1.03901941e-119   0.01858813   0.01853416   79.01764093   468.42095177
   246   8.06562237e-134   0.01771402   0.01766569   84.97164658   533.81212084
   268   7.79311511e-149   0.01692204   0.01687857   91.11817686   605.43688384
   293   3.69789837e-166   0.01614354   0.01610461   98.00171914   690.58815553
   321   7.37179875e-186   0.01539262   0.01535786   105.59705271   790.56508478
   351   2.78889752e-207   0.01469965   0.01466854   113.61530287   902.92578075
   383   1.86919199e-230   0.01406069   0.01403279   122.04619425   1028.58192116
   419   6.93389023e-257   0.01343942   0.01341447   131.39640017   1176.90373612
   458   6.59675899e-286   0.01285837   0.01283604   141.38195427   1345.66717460
   501   2.50540689e-318   0.01230507   0.01228510   152.23667254   1541.20961457
   548   0.00000000e+00   0.01178285   0.01176500   163.93488539   1765.98958028
   599   0.00000000e+00   0.01129306   0.01127708   176.45303849   2022.59774499
   654   0.00000000e+00   0.01083565   0.01082134   189.76961707   2313.74823981
   715   0.00000000e+00   0.01039626   0.01038345   204.33962709   2653.69659074
   782   0.00000000e+00   0.00997865   0.00996720   220.12653349   3047.19029771
   855   0.00000000e+00   0.00958479   0.00957454   237.09662628   3499.26247007
   934   0.00000000e+00   0.00921531   0.00920614   255.21899428   4015.21279224
  1021   0.00000000e+00   0.00886239   0.00885418   274.91532204   4614.73650571
  1117   0.00000000e+00   0.00852487   0.00851753   296.36468065   5313.42952151
  1221   0.00000000e+00   0.00820778   0.00820121   319.29989280   6113.23651384
  1334   0.00000000e+00   0.00790855   0.00790267   343.90144407   7031.57717742
  1459   0.00000000e+00   0.00762104   0.00761578   370.76945141   8105.82247502
  1595   0.00000000e+00   0.00734933   0.00734462   399.63188539   9342.58102937
  1743   0.00000000e+00   0.00709220   0.00708798   430.64850554   10767.04068293
  1906   0.00000000e+00   0.00684585   0.00684208   464.38450354   12428.39745350
  2083   0.00000000e+00   0.00661303   0.00660965   500.56668583   14339.72022635
  2277   0.00000000e+00   0.00639077   0.00638775   539.74010290   16559.93546361
  2489   0.00000000e+00   0.00617914   0.00617643   582.02933780   19132.57442000
  2721   0.00000000e+00   0.00597725   0.00597482   627.75142134   22119.15750298
  2975   0.00000000e+00   0.00578448   0.00578231   677.21104502   25589.52747760
  3252   0.00000000e+00   0.00560104   0.00559909   730.51016095   29607.78030896
  3555   0.00000000e+00   0.00542581   0.00542407   788.12721241   34276.14616006
  3886   0.00000000e+00   0.00525858   0.00525702   850.33500596   39694.67023103
  4248   0.00000000e+00   0.00509869   0.00509729   917.58215142   45993.40373467
  4644   0.00000000e+00   0.00494572   0.00494447   990.30071437   53320.05957196
  5077   0.00000000e+00   0.00479936   0.00479824   1068.90741170   61841.84917179
  5550   0.00000000e+00   0.00465938   0.00465838   1153.80477943   71747.42096364
  6067   0.00000000e+00   0.00452535   0.00452445   1245.55880585   83271.87545581
  6632   0.00000000e+00   0.00439695   0.00439614   1344.71572421   96681.84879389
  7250   0.00000000e+00   0.00427378   0.00427306   1451.97609172   112304.78013689
  7926   0.00000000e+00   0.00415557   0.00415492   1568.01605961   130513.02696906
