# Analytical C(K) for STC model with ER backbone
# c = 4.000000
# f = 0.100000
# <K> = 5.600000
# Kmax = 100000000
# Npoints = 200 (log-spaced)
# PK_min = 0.00e+00
# C(K->inf) = f/alpha^2 = 0.051020
# Saddle-point equation: y + log(y) + log(y-1) = log(Kf) + fc + 1
# C_asymp computed by evaluating triangle formula at k* = K/y
#
# K      P(K)             C(K)           C_asymp        E[k|K]         E[tri|K]
  8664   0.00000000e+00   0.00404227   0.00404169   1693.32024236   151698.92812343
  9471   0.00000000e+00   0.00393345   0.00393293   1828.86076352   176396.26452531
 10354   0.00000000e+00   0.00382881   0.00382834   1975.57600465   205214.50141479
 11319   0.00000000e+00   0.00372826   0.00372784   2134.20937569   238811.07909428
 12373   0.00000000e+00   0.00363166   0.00363128   2305.64378000   277964.78847950
 13526   0.00000000e+00   0.00353864   0.00353830   2491.21529113   323678.06436936
 14786   0.00000000e+00   0.00344914   0.00344883   2691.89814245   377009.50895317
 16164   0.00000000e+00   0.00336290   0.00336263   2909.10818139   439293.32442018
 17670   0.00000000e+00   0.00327983   0.00327959   3144.06032329   512000.11288873
 19316   0.00000000e+00   0.00319977   0.00319955   3398.24056277   596899.31096456
 21116   0.00000000e+00   0.00312254   0.00312234   3673.39336368   696114.11582265
 23083   0.00000000e+00   0.00304805   0.00304787   3971.05806440   812002.32742359
 25234   0.00000000e+00   0.00297612   0.00297596   4293.32561736   947491.68149650
 27585   0.00000000e+00   0.00290668   0.00290653   4642.07462368   1105851.76883737
 30155   0.00000000e+00   0.00283959   0.00283946   5019.56771932   1291011.27835141
 32965   0.00000000e+00   0.00277474   0.00277463   5428.28967277   1507598.95491398
 36036   0.00000000e+00   0.00271206   0.00271196   5870.65152212   1760884.45166723
 39394   0.00000000e+00   0.00265142   0.00265133   6349.70572273   2057300.96492792
 43064   0.00000000e+00   0.00259276   0.00259267   6868.27372326   2404089.62564780
 47077   0.00000000e+00   0.00253596   0.00253588   7429.93396636   2810093.14736637
 51463   0.00000000e+00   0.00248097   0.00248091   8038.02259185   3285290.25757916
 56258   0.00000000e+00   0.00242770   0.00242764   8696.60400070   3841728.42312804
 61500   0.00000000e+00   0.00237608   0.00237603   9409.89794204   4493400.20187150
 67230   0.00000000e+00   0.00232605   0.00232600   10182.40926715   5256649.97809786
 73493   0.00000000e+00   0.00227754   0.00227750   11019.05084592   6150669.53518308
 80341   0.00000000e+00   0.00223048   0.00223044   11925.52360734   7198416.36637749
 87826   0.00000000e+00   0.00218482   0.00218478   12907.37037207   8426098.23930558
 96009   0.00000000e+00   0.00214050   0.00214046   13971.15139031   9865156.16315274
104955   0.00000000e+00   0.00209746   0.00209743   15123.76185806   11552245.39513298
114733   0.00000000e+00   0.00205567   0.00205565   16372.42143275   13529986.37137673
125423   0.00000000e+00   0.00201508   0.00201505   17725.54691394   15849375.30960395
137109   0.00000000e+00   0.00197562   0.00197560   19191.83071061   18569603.89248177
149884   0.00000000e+00   0.00193727   0.00193725   20780.85360525   21760472.06175277
163849   0.00000000e+00   0.00189999   0.00189997   22502.92973539   25503823.76442580
179115   0.00000000e+00   0.00186372   0.00186371   24369.32516761   29895987.68740335
195803   0.00000000e+00   0.00182845   0.00182843   26392.22445385   35050076.62893481
214046   0.00000000e+00   0.00179412   0.00179411   28584.93879356   41099280.51028470
233989   0.00000000e+00   0.00176071   0.00176070   30961.86695577   48200064.49114329
255791   0.00000000e+00   0.00172819   0.00172818   33538.69418069   56536587.65649302
279623   0.00000000e+00   0.00169652   0.00169651   36332.11498200   66324245.19262596
305676   0.00000000e+00   0.00166567   0.00166566   39360.72810376   77817986.21318683
334156   0.00000000e+00   0.00163562   0.00163561   42644.39573757   91316454.13578068
365290   0.00000000e+00   0.00160633   0.00160633   46204.88759709   107171764.65828605
399324   0.00000000e+00   0.00157779   0.00157779   50065.59100339   125796994.22401434
436530   0.00000000e+00   0.00154997   0.00154997   54252.24460761   147679815.85162470
477202   0.00000000e+00   0.00152284   0.00152284   58792.41516885   173392045.93357748
521664   0.00000000e+00   0.00149639   0.00149638   63716.32401770   203608137.78181517
570268   0.00000000e+00   0.00147058   0.00147058   69056.54149029   239120276.16872048
623401   0.00000000e+00   0.00144540   0.00144540   74848.67435195   280862382.08705610
681484   0.00000000e+00   0.00142084   0.00142083   81131.16079871   329932067.91432923
744979   0.00000000e+00   0.00139686   0.00139685   87945.93190105   387622827.88526070
814390   0.00000000e+00   0.00137345   0.00137345   95338.40786434   455456489.77460206
890268   0.00000000e+00   0.00135059   0.00135059   103357.91752936   535224733.85008305
973215   0.00000000e+00   0.00132828   0.00132828   112057.99643724   629036696.64564538
1063891   0.00000000e+00   0.00130648   0.00130648   121496.98483258   739378228.35888588
1163015   0.00000000e+00   0.00128519   0.00128519   131737.98369008   869173763.01296616
1271375   0.00000000e+00   0.00126438   0.00126438   142849.73484330   1021870140.09097922
1389831   0.00000000e+00   0.00124405   0.00124405   154906.75511075   1201525259.58490539
1519324   0.00000000e+00   0.00122419   0.00122418   167990.07160398   1412920409.60987544
1660881   0.00000000e+00   0.00120476   0.00120476   182187.52847541   1661685249.08687711
1815628   0.00000000e+00   0.00118578   0.00118578   197594.87760637   1954458284.09493732
1984793   0.00000000e+00   0.00116721   0.00116721   214315.84111852   2299055991.87746286
2169719   0.00000000e+00   0.00114905   0.00114905   232463.15327943   2704689745.23370123
2371875   0.00000000e+00   0.00113130   0.00113130   252159.36830897   3182216496.24463511
2592866   0.00000000e+00   0.00111392   0.00111392   273537.54241774   3744429467.33242416
2834447   0.00000000e+00   0.00109693   0.00109693   296742.27528578   4406408143.66476059
3098537   0.00000000e+00   0.00108030   0.00108030   321930.71361963   5185928490.86012745
3387232   0.00000000e+00   0.00106402   0.00106402   349273.42470790   6103939432.34016037
3702825   0.00000000e+00   0.00104809   0.00104809   378955.89665412   7185142799.33951283
4047823   0.00000000e+00   0.00103250   0.00103250   411179.70479739   8458663484.31379700
4424965   0.00000000e+00   0.00101723   0.00101723   446163.73067865   9958836184.83540535
4837245   0.00000000e+00   0.00100228   0.00100228   484145.79899811   11726145627.06393051
5287938   0.00000000e+00   0.00098764   0.00098764   525384.53108920   13808342318.58215141
5780623   0.00000000e+00   0.00097330   0.00097330   570160.86197030   16261735519.69284058
6319213   0.00000000e+00   0.00095926   0.00095926   618780.13729933   19152740646.15066910
6907983   0.00000000e+00   0.00094550   0.00094550   671573.95977148   22559680356.90408707
7551610   0.00000000e+00   0.00093202   0.00093202   728903.04048533   26574964415.04558945
8255205   0.00000000e+00   0.00091881   0.00091881   791159.24610709   31307596185.29520035
9024354   0.00000000e+00   0.00090586   0.00090586   858768.36931452   36886163775.22624969
9865167   0.00000000e+00   0.00089317   0.00089317   932193.50379023   43462406583.77054596
10784319   0.00000000e+00   0.00088073   0.00088073   1011937.61398285   51215331121.76738739
11789110   0.00000000e+00   0.00086854   0.00086854   1098547.65734223   60356189469.92512512
12887518   0.00000000e+00   0.00085658   0.00085658   1192617.97133971   71134255219.61050415
14088267   0.00000000e+00   0.00084486   0.00084486   1294794.82596149   83843736205.68647766
15400892   0.00000000e+00   0.00083336   0.00083336   1405780.57464798   98831847757.31097412
16835816   0.00000000e+00   0.00082209   0.00082209   1526338.67975986   116508405092.86711121
18404434   0.00000000e+00   0.00081103   0.00081103   1657299.16023746   137357157425.71817017
20119202   0.00000000e+00   0.00080018   0.00080018   1799564.27996255   161949141054.60888672
21993738   0.00000000e+00   0.00078953   0.00078953   1954115.04431010   190958504959.94287109
24042927   0.00000000e+00   0.00077909   0.00077909   2122017.81926072   225181126363.12054443
26283042   0.00000000e+00   0.00076884   0.00076884   2304432.04505047   265556699824.30496216
28731872   0.00000000e+00   0.00075878   0.00075878   2502618.27465128   313194769850.33435059
31408863   0.00000000e+00   0.00074891   0.00074891   2717947.00797688   369405505088.95422363
34335273   0.00000000e+00   0.00073922   0.00073922   2951908.37172460   435736080967.54791260
37534341   0.00000000e+00   0.00072970   0.00072970   3206122.61341205   514013667892.61871338
41031471   0.00000000e+00   0.00072036   0.00072036   3482351.45878848   606396215704.42407227
44854434   0.00000000e+00   0.00071119   0.00071119   3782510.53640625   715432492976.43078613
49033587   0.00000000e+00   0.00070219   0.00070219   4108682.75259884   844132992947.46374512
53602119   0.00000000e+00   0.00069334   0.00069334   4463133.35704158   996053950741.21594238
58596308   0.00000000e+00   0.00068466   0.00068466   4848325.40524445   1175396276623.90795898
64055812   0.00000000e+00   0.00067613   0.00067613   5266937.36704594   1387122815116.85009766
70023987   0.00000000e+00   0.00066775   0.00066775   5721882.26918109   1637097002221.30078125
76548225   0.00000000e+00   0.00065951   0.00065951   6216327.78882724   1932246388529.39135742
83680336   0.00000000e+00   0.00065142   0.00065142   6753719.07180741   2280756488008.50634766
91476957   0.00000000e+00   0.00064347   0.00064347   7337802.90569243   2692299610829.09863281
100000000   0.00000000e+00   0.00063566   0.00063566   7972654.09536391   3178305435183.21337891
